id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,collapse_context,institution,housing_promised,housing_received,market_participation,housing_type,pets,employment_type,health_care,housing,housing_actual,healthcare_participation
1,"Настоящее время, начало интервью",Знакомство и установка на интервью,"Респондентка соглашается на длительное интервью, проявляет открытость и готовность к диалогу, обсуждаются технические детали и формат беседы.",Здорово. Куда не тороплюсь.,"спокойствие, доброжелательность","открытость, готовность к сотрудничеству, уважение к процессу","Респондентка демонстрирует доверие к исследовательскому процессу, не выражает тревоги по поводу длительности или формата интервью, что может свидетельствовать о высоком уровне социальной адаптации и коммуникативной компетентности.",декларация,1.0,,,,,,,,,,,
2,Настоящее время,Демографические данные,"Респондентка сообщает основные сведения о себе: возраст, национальность, семейное положение, образование, место проживания, состав домохозяйства, родной язык.","60. ... Русская, однозначно. ... Не замужем. ... Но у меня два образования. Одно у меня законченное среднее специальное, а второе у меня незаконченное высшее. ... Я проживаю в Ленинградской области, Сосинский район. ... Нет, я живу одна. ... Ну ладно, конечно, русский.","нейтральность, открытость","прямота, честность, идентичность","Данные указывают на типичную для старшего поколения структуру: женщина 60 лет, русская, не замужем, с профессиональным образованием, проживает одна в Ленинградской области. Это может быть важно для анализа одиночества, образовательных траекторий и региональных различий.",декларация,,"образование: среднее специальное, незаконченное высшее; место жительства: Ленинградская область; домохозяйство: одиночка",,,,,,,,,,
3,Детство (0-7 лет),"Ранние воспоминания, переезд, семья","Респондентка родилась на Сахалине, но раннее детство помнит фрагментарно. В возрасте 5 лет семья переехала в Ейск благодаря выигрышу отца в лотерею. Мать активно занималась воспитанием и развитием дочери, читала ей книги во время болезни, что пробудило интерес к чтению.","Я родилась на Сахалине, в городе Невикс. ... Мы туда уехали, у меня папа выиграл машину по лотерейному билету. ... Мама мне всегда писала книжки. ... Я хочу научиться читать.","ностальгия, теплота, благодарность","семейственность, образование, любознательность, поддержка","Семья демонстрирует мобильность и способность использовать неожиданные возможности (выигрыш в лотерею) для улучшения условий жизни. Мать играет активную роль в развитии ребенка, что типично для семей с высоким образовательным потенциалом.",эпизод,,"семья, школа",переезд на юг ради здоровья ребенка,,,,,,,,,
4,Детство (6-8 лет),"Первые школьные годы, любовь к чтению","Респондентка пошла в школу, уже умея хорошо читать благодаря домашнему обучению. Испытывала гордость за свои навыки, несмотря на скромные материальные условия (старый букварь).","Когда все дети открыли на партах, у них все были новенькие буквари... А у меня был букварь, во-первых, замусоленный... Но зато я в школу пошла... читала я, это просто вот чудесно.","гордость, радость, лёгкая ирония","образование, самостоятельность, любовь к книгам",Раннее развитие навыков чтения и поддержка со стороны семьи формируют у респондентки устойчивую образовательную мотивацию. Материальные ограничения компенсируются культурным капиталом.,эпизод,,"школа, семья",,,,,,,,,,
5,Детство (6-10 лет),"Игры, воображение, отношения с братом","В детстве респондентка много играла с братом, проявляла фантазию и склонность к приключениям. Важную роль играли семейные истории и совместные шалости.","Мы нашли в нем какую-то старую калитку... решили на неё, на эту калитку забраться. Ну, естественно, что калитка утонула, и мы рухнули в эту лужу.","веселье, озорство, лёгкое волнение","семейные связи, воображение, самостоятельность","Детские игры и совместные шалости с братом формируют навыки коммуникации, сплочённость и креативность. Воспоминания окрашены теплотой и юмором.",эпизод,,семья,,,,,,,,,,
6,Детство — ранний подростковый возраст,"Школьная жизнь, культурные практики","В школе важную роль играли совместные просмотры фильмов, что способствовало формированию чувства общности среди детей. Респондентка с теплотой вспоминает эти моменты и сожалеет об утрате подобных традиций в современности.","Нас очень сильно объединяли вот эти фильмы, потому что мы выходили оттуда, естественно, что обменивались впечатлениями...","ностальгия, лёгкая грусть","общность, культура, традиции","Коллективные культурные практики (просмотр фильмов) играли важную роль в социализации детей советского времени, формируя чувство принадлежности и коллективной идентичности.",эпизод,,школа,,,,,,,,,,
7,Детство — подростковый возраст,"Возвращение на Сахалин, семейные традиции","После двух лет в Ейске семья возвращается на Сахалин. Мать не работала, но занималась саморазвитием (курсы кройки и шитья) и создала традицию шить дочери школьную форму своими руками.","Мама сидела дома, но она не привыкла просто сидеть дома. Она там пошла на курсы кройки и шитья... все платья она шила мне сама.","благодарность, восхищение","трудолюбие, семейные традиции, творчество","Женская самоидентификация через труд и заботу о семье, а также передача навыков и традиций следующему поколению — характерная черта советской и постсоветской семьи.",узел,,"семья, курсы кройки и шитья",,,,,,,,,,
8,Подростковый возраст,"Переезд в город, адаптация в новой школе","Семья переезжает из посёлка в райцентр Анива. Респондентка сталкивается с предвзятостью как 'девочка из деревни', но находит поддержку среди учителей и увлекается историей благодаря харизматичной директорке.","Когда мы пришли в школу, и помню, что она смотрит на меня сверху вниз, она тоже высокая была, смотрит на меня и спрашивает, сколько троек? ... Но школа у меня оставила такие хорошие впечатления.","волнение, облегчение, благодарность","образование, преодоление трудностей, уважение к учителям",Переезд из сельской местности в город связан с необходимостью социальной адаптации и преодолением стереотипов. Важную роль играет поддержка со стороны педагогов.,перелом,,"школа, семья",,,,,,,,,,
1,детство и школьные годы,отношения с матерью и школьная самостоятельность,"Мать не контролировала учебу респондентки, доверяя ей и не вмешиваясь в школьные дела. Учиться было легко, успехи давались без напряжения.","Она сказала, что я пришла первый раз в школу, привела тебя в пятый класс, последний раз я приду в школу на выпускной вечер.","спокойствие, уверенность","самостоятельность, доверие, ответственность","Демонстрируется модель воспитания, основанная на доверии и самостоятельности ребенка, что характерно для семей с определенным уровнем культурного капитала.",декларация,,,,,,,,,,,,
2,школьные годы,интерес к учебе и предметам,"Учеба давалась легко, интерес к разным предметам, успехи в физике и английском языке. Вспоминает, как помогала племяннику с задачами, что приносило удовольствие.","Я была один год лучший физик 6 класса... мне было просто так интересно вот эту задачу решать, просто вот интересно.","удовлетворение, интерес","любознательность, интеллектуальное развитие","Респондентка проявляет склонность к саморазвитию и интеллектуальной активности, что может быть связано с семейной поддержкой и личной мотивацией.",эпизод,,,,,,,,,,,,
