id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,region
1,Детство,Семейное происхождение и этническая идентичность,"Респондентка родилась в Ростове-на-Дону в семье с украинскими и армянскими корнями. Родители были молодыми, им было тяжело, поэтому воспитанием занимались соседи и бабушка.","Папа украинец, мама армянка... Поэтому меня воспитывали соседи. Я ребенок, ну то есть меня воспитывали все соседи.","Сдержанная, немного отстранённая, с оттенком одиночества","Семья, выживание, адаптация, мультикультурность","Семья респондентки иллюстрирует типичную для постсоветского пространства ситуацию, когда родители заняты работой и выживанием, а воспитание частично делегируется расширенному кругу взрослых (соседи, бабушка). Этническая смешанность и самоидентификация как метиски отражает сложную структуру идентичности.",эпизод,"семья, соседи, бабушка",0.0,0.0,,
2,Детство,Эмоциональные отношения в семье,"Отношения с родителями были дистантными и строгими, особенно с отцом. Мама была доброй, но постоянно работала. Бабушка была строгой, отношения с ней были сложными. Соседи и младшая сестра давали больше поддержки.","Папа, как сейчас мы сделали вывод с сестрой, у папы было неосознанное отцовство. Он мне всё время говорил, давай ты будешь где-то в стороне... Мама тоже много работала, но мама добрая.","Ощущение одиночества, строгости, благодарности за поддержку сестры","Поддержка, доброта, эмоциональная близость, самостоятельность","Воспитание в условиях эмоциональной дистанции со стороны родителей и строгой дисциплины формирует у респондента самостоятельность и поиск поддержки вне семьи (у соседей, сестры).",узел,"семья, соседи, сестра",0.0,0.0,,
3,Детство,Материальные трудности и социальная среда,"Семья жила в условиях материальных трудностей, характерных для перестроечного времени. Мама — врач, часто дома бывали больные, которые приносили продукты и школьные принадлежности. В доме было много родственников, включая проблемных (наркоман, алкоголик).","Это же были трудные времена. Перестройка, есть нечего, приноси. Для школы не было тетради, все приносили больные.","Тяжесть, благодарность, выживание","Выживание, взаимопомощь, трудолюбие","Респондентка описывает типичную для 1990-х годов ситуацию, когда медицинские услуги оплачивались бартером, а дом был открыт для многочисленных родственников, включая асоциальных.",эпизод,"семья, медицинская система, неформальные сети",0.0,1.0,,
4,Детство,Образование и социальное неравенство,"Родители стремились дать лучшее образование, поэтому респондентка училась в спецшколе с углублённым английским. В классе были дети из разных социальных слоёв, но дружба складывалась по принципу схожего материального положения.","Я училась в специализированной школе с углублённым изучением английского языка... я, конечно, общалась только с теми, кто живёт рядом со мной, такого же материального дохода.","Осознание социальной дистанции, адаптация","Образование, равенство, принадлежность","Школа становится пространством воспроизводства социального неравенства, а также местом формирования групп по принципу материального положения.",эпизод,школа,0.0,0.0,,
5,Детство,Опыт буллинга и семейной строгости,"В классе были случаи травли, но респондентка напрямую не сталкивалась, кроме одного случая в первом классе. Страх наказания дома за потерю вещей был сильнее, чем страх перед сверстниками.","Он у меня забирал портфель. А я понимала, что если он у меня забрал портфель, то меня поругают дома, что я пришла домой без портфеля. Будет лишняя головная боль для меня. Папа меня побьет.","Страх, тревога, уязвимость","Безопасность, защита, порядок",Семейная строгость и физические наказания формируют у ребёнка повышенную тревожность и ориентацию на избежание конфликтов.,эпизод,"семья, школа",0.0,0.0,,
6,Детство,Отношения с сестрой,"Сестра была младше, но играла роль защитницы и эмоциональной поддержки. Благодаря сестре респондентке было легче справляться с трудностями.",Она очень меня поддерживала. Благодаря ей мне было легче. Она была как отдушина у нас в семье. Она была моя душа.,"Благодарность, тепло, привязанность","Семейная поддержка, близость, забота",В условиях эмоционального дефицита в семье горизонтальные связи между сиблингами становятся ключевым ресурсом поддержки.,узел,"семья, сестра",0.0,0.0,,
7,Детство,Учебная нагрузка и трудности в обучении,"Учёба в спецшколе давалась тяжело, требовала дополнительных занятий с преподавателями. В доме не было условий для самостоятельных занятий из-за постоянного присутствия родственников и напряжённой атмосферы.","Я училась в спецшколе, это там английский надо было учить. У меня, мне тяжело давалось... Я занималась со всеми предметами, с учителями, потому что я ничего не понимала.","Усталость, давление, беспомощность","Образование, трудолюбие, преодоление",Высокие образовательные ожидания родителей и отсутствие поддержки со стороны школы приводят к перегрузке и стрессу у ребёнка.,эпизод,"школа, семья",0.0,0.0,,
8,Детство,Досуг и игры,"В детстве были игры с соседским мальчиком, респондентка была более активной и склонной к инициативе. Досуг был связан с улицей и соседями.","Я его всё время говорила, пошли там на горке покатаемся. Я его там приболтаю, мы пойдём на горку покатаемся, его потом поругают.","Лёгкость, озорство, инициатива","Дружба, самостоятельность, активность","Детский досуг формируется вне семьи, во дворе, с соседями, что типично для советских и постсоветских городских детей.",эпизод,"соседи, двор",0.0,0.0,,
9,Детство,Влияние асоциальных родственников,"В семье были родственники с зависимостями (наркоман, алкоголик), что создавало дополнительные риски и тревоги. Один из них был добрым, но за ним приходилось следить, чтобы не украл вещи из дома.","Я знала, что за ним надо следить, потому что он может украсть. Все, что есть, он мог вынести все из дома. Я его очень любила, потому что он добрый.","Тревога, амбивалентность, настороженность","Безопасность, забота, ответственность","Присутствие асоциальных родственников в доме формирует у ребёнка раннюю ответственность и настороженность, а также негативное отношение к зависимостям.",эпизод,"семья, расширенная семья",0.0,0.0,,
10,Переход к взрослой жизни,Выбор профессии и давление семьи,"После школы респондентка поступила в медицинский институт по настоянию отца, хотя учёба давалась тяжело. Специализация — педиатрия.","После школы я поступила в мединститут, потому что так хотел папа. Именно папа. Было сложно. Опять было сложно.","Подчинённость, усталость, отсутствие выбора","Послушание, образование, долг",Выбор профессии под давлением родителей — типичная стратегия для семей с высоким уровнем контроля и ожиданий. Отсутствие самостоятельного выбора может влиять на дальнейшее профессиональное самоощущение.,перелом,"семья, медицинский институт",0.0,1.0,,
