id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,housing_promised,market_participation,location_preference
1,Детство и происхождение,Семейные корни и этническая идентичность,"Респондентка родилась в Санкт-Петербурге, её отец был армянином из Баку, участником Великой Отечественной войны, преподавал в Ленинградском политехническом институте. Мать — из Саратовской губернии, бабушка — рабочая. Семья переехала в Ленинград после войны. Отец умер, когда респондентке было 5 лет.","Родилась я в городе Санкт-Петербурге... Отец мой родом из Баку. Армянские корни, я знаю, к сожалению, не очень хорошо в свете политических событий, так как армяне были бакинские.","ностальгия, некоторая грусть","семейная память, уважение к корням, идентичность","История семьи отражает типичные для советского времени миграции и этнические перемещения, а также влияние политических событий на судьбы людей. Сильна роль памяти о предках и сохранения фамилии как символа идентичности.",эпизод,"Ленинградский политехнический институт, советская система образования",1.0,,,
2,Раннее детство,Семейная структура и утрата,"Отец умер, когда респондентке было 5 лет. Вскоре в семье появился отчим, музыкант, с которым прожили 6 лет до его смерти. В семье также был брат. Мать после смерти отчима стала работать, чтобы содержать семью.","Отец умер, когда мне было 5 лет... Он появился буквально в доме сразу же, может быть. Ну, вы маленький, да, практически возраст?","печаль, принятие","семейная поддержка, адаптация к переменам","Семейная структура менялась под влиянием жизненных обстоятельств. Быстрая смена мужских фигур в семье типична для советского и постсоветского времени, когда женщины часто брали на себя основную ответственность за детей.",узел,,1.0,отдельная квартира,,
3,Детство и подростковый возраст,"Воспитание, ожидания и социальное положение","Мать стремилась реализовать свои амбиции через дочь, отдавая её в балет, музыкальную школу, плавание. Респондентка была отличницей, лидером, но чувствовала внутреннее одиночество и давление быть первой.","Ты лучшая, ты должна продолжить отцовское. Твое место только первое. Ну, вот вся эта история.","внутреннее напряжение, одиночество","достижения, лидерство, самореализация",Воспитание с акцентом на успех и лидерство характерно для семей с образовательным капиталом. Давление на детей быть лучшими часто приводит к внутренним конфликтам и чувству одиночества.,эпизод,"музыкальная школа, спортивная секция",1.0,,,
4,Подростковый возраст,Взаимоотношения с семьёй и сверстниками,"С братом отношения были хорошие, несмотря на попытки матери столкнуть их. С матерью отношения со временем ухудшились, вплоть до полного разрыва. Со сверстниками респондентка была лидером, но чувствовала себя изолированной.",Меня ни один из одноклассников не звал на день рождения... внутри она была именно душевно совершенно не такой.,"обида, разочарование, самостоятельность","самостоятельность, честность, эмоциональная дистанция","Семейные конфликты и эмоциональная дистанция с матерью типичны для поколений, выросших в условиях высоких ожиданий и недостатка эмоциональной поддержки. Ощущение одиночества среди сверстников — частое следствие статуса «отличника».",узел,,1.0,,,
5,Юность и ранняя взрослость,Образование и профессиональный старт,"Респондентка получила специальность оператора ЭВМ, поступила в педагогический вуз, но не закончила его. Начала работать, родила дочь, работала в магазине. После закрытия магазина устроилась в крупную федеральную компанию, где проработала почти 20 лет.",Пошла в крупную федеральную компанию на отбор. Прошла для того времени огромнейший отбор... И прекрасно трудилась и реализовывалась без малого 20 лет в этой компании.,"гордость, удовлетворение","профессионализм, трудолюбие, самостоятельность","Карьера респондентки отражает типичный путь женщин постсоветского поколения: ранний выход на работу, совмещение материнства и труда, адаптация к меняющимся экономическим условиям.",эпизод,,1.0,,долгосрочная занятость в крупной компании,
6,Зрелость,"Потери, перемены и новые планы","После ухода с долгой работы из-за экономических и политических изменений респондентка работала заместителем директора в частной компании, затем ушла и сейчас находится в поиске новых жизненных решений.",Пока наша прекрасная экономическая ситуация и все политические события в стране и в мире не нивелировали данную компанию с рынка Российской Федерации.,"реализм, неопределённость, надежда","адаптивность, независимость, открытость переменам","История иллюстрирует влияние макроэкономических и политических изменений на индивидуальные биографии, а также готовность к профессиональным переменам и поиску новых путей.",перелом,,1.0,,"смена работы, временная безработица",
7,Взрослая жизнь,Отношения с матерью и самостоятельность,"Взрослая жизнь респондентки характеризуется разрывом отношений с матерью, который был осознанным выбором ради сохранения собственного достоинства и эмоционального здоровья.","У меня нет никакого общения с мамой, и это именно выбор осознанный, потому Мой. Потому что общение в определенный момент стало невозможным.","решимость, боль, освобождение","личные границы, достоинство, эмоциональное здоровье","Разрыв с родителями в зрелом возрасте — редкое, но показательное явление для женщин, выросших в условиях эмоционального давления и несоответствия ожиданиям родителей.",декларация,,1.0,,,
1,школьные годы,Учёба и ожидания семьи,"Респондентка училась в школе на отлично, учеба давалась легко. Мать хотела, чтобы она перевелась экстерном, но это было скорее инициативой матери, чем самой респондентки.","Мама всё хотела. Ну, это как бы её история, да.",нейтрально-отстранённый,"семейные ожидания, самостоятельность","Видна дистанция между желаниями респондентки и ожиданиями матери, что может говорить о формировании самостоятельной позиции в юности.",декларация,школа,,,,
2,ранняя молодость,Первые шаги в образовании и работе,"Респондентка поступила в Герцена, но не закончила обучение. Начала работать в магазине в конце 90-х, выбрав работу из необходимости зарабатывать деньги, а не по призванию.","Это не профессия была, совершенно я пошла получать деньги, вот так скажем.","прагматичный, без иллюзий","самостоятельность, финансовая независимость","Переходный период 90-х, когда молодые люди часто вынуждены были выбирать работу по принципу выживания, а не по интересу.",эпизод,,,,низкоквалифицированная занятость,
3,начало трудовой карьеры,Поиск работы через связи и случай,"Работу в магазине респондентка получила через земляков-армян, что обеспечивало чувство безопасности. Позже ключевое место работы нашла случайно, по совету подруги, и прошла сложный отбор.","Магазин. Это потому что земляки, армяне. Я для них была там как младшая сестра. Время было очень-не очень. И это такая безопасная история была.","благодарность, спокойствие","социальные связи, безопасность",В условиях нестабильности 90-х социальный капитал (землячество) играл важную роль в трудоустройстве.,эпизод,неформальный рынок труда,,,,
4,становление профессионала,Карьерный рост и ценности в работе,"Респондентка 20 лет проработала в крупной компании, доросла до руководителя отдела. Отказалась от карьерного роста в Москву ради личных ценностей и нежелания участвовать в политических играх.","Я честно для себя поняла, что в террариуме я работать не хочу, а политические игры — это неотъемлемая часть.","уверенность, осознанность","самореализация, честность, развитие","Показательна ориентация на внутренние ценности и баланс между карьерой и личной жизнью, а также критика корпоративной культуры.",узел,крупная компания,,,корпоративный сектор,
5,кризис и перемены,Закрытие компании и влияние внешних факторов,"Компания, где работала респондентка, закрылась после событий в Крыму и санкций. Она осознанно воспринимает политические и экономические причины, не испытывает обиды.","У меня нет обид по политической истории. Все вещи, которые могли влиять на социум, они должны были быть.","принятие, рациональность","реализм, адаптивность","Видна зрелая позиция по отношению к макроэкономическим и политическим изменениям, отсутствие персонализации вины.",перелом,корпорация,1.0,,,
