id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
1,Детство и юность,Семейное окружение и ранние потери,"Марина росла в семье с отцом, мачехой и старшей сестрой по отцу. Мать умерла, когда Марина была в третьем классе. Отец вскоре завёл новые отношения. В семье не было близких доверительных отношений, взрослые были сдержанны, поддержку Марина получала скорее от книг и немногочисленных подруг.","В основном у меня были книги и подруги. Подруг очень мало, фактически одна книга.","Ощущение одиночества, неконфорта, некоторая отстранённость","Самостоятельность, внутренняя опора, ценность образования и чтения","Ранние потери и отсутствие эмоциональной поддержки в семье формируют у респондента склонность к самостоятельности и поиску опоры вне семьи (книги, учеба).",эпизод,"семья, школа",,,,
2,Юность и образование,Образовательная траектория и профессиональный выбор,"После окончания восьмилетки Марина перешла в другую школу, затем поступила в Харьковский институт культуры и параллельно училась в медицинском училище. В институт культуры пошла, потому что не поступила в другой вуз. Позже получила второе высшее образование по филологии, чтобы преподавать.","В Институт культуры я пошла по одной причине, что не поступила в Мининский институт.","Сдержанная рефлексия, принятие обстоятельств","Образование, профессиональное развитие, адаптация к обстоятельствам","Образовательная траектория респондента демонстрирует типичную для советского времени стратегию: сочетание нескольких учебных заведений, прагматичный подход к выбору профессии, ориентация на стабильную занятость.",узел,"школа, институт культуры, медицинское училище, университет",,,,
3,Молодость и ранняя зрелость,"Первый брак, материнство и самостоятельность","Вышла замуж в 19 лет, брак был неудачным. После развода переехала в Курск, жила на квартире, работала на заводе ради получения жилья и места в детском саду для сына. Сын вырос, получил образование, живёт отдельно.","Замуж вышла неудачно. Суметью мы переехали в Курск из Белгорода. Здесь его родители жили. И здесь же родился мой сын. У меня замужество, я с мужем развелась. Ушла, жила на квартире, работала на заводе для того, чтобы получить жилье.","Трезвое принятие, некоторая усталость, прагматизм","Самостоятельность, забота о ребёнке, материальная стабильность","Марина демонстрирует типичную для женщин своего поколения стратегию: опора на собственные силы после развода, ориентация на получение жилья через работу на заводе, приоритет интересов ребёнка.",узел,,True,работа ради жилья и детсада,,
4,Зрелость,Профессиональная жизнь и смена рабочих мест,"Марина работала на заводе, затем в заводской библиотеке, позже в вузовской библиотеке, а затем в коммерческом вузе. Работу находила через знакомства, смена мест была нечастой и связана с возможностями получения жилья и профессионального роста.","Да я не знаю, как-то, что случайно, что как-то, как приглашение. Пусть город небольшой, такой немножко настойкий. Как-то в определенных сферах, в частности, в Альбузовской, там с моей кухней все в ней валятся.","Спокойствие, некоторая отстранённость","Профессионализм, стабильность, социальные связи","Профессиональная траектория респондента отражает особенности трудового рынка малых городов: важность неформальных связей, ограниченность выбора, ориентация на стабильные сферы (библиотеки, вузы).",эпизод,"завод, заводская библиотека, вуз, коммерческий вуз",,,,
5,Зрелость,Личные отношения и второй брак,"Первый брак был заключён скорее из страха одиночества, без осознанного выбора. Второй брак был более осознанным, но также не привёл к гармонии. Марина отмечает отсутствие примеров счастливой семейной жизни в детстве, что повлияло на её собственные отношения.","Первый раз я замуж вышла совершенно неправильно, но с перепонкой. Собственно, я замуж не вышла, меня замуж и взяли... А вот второй муж уже был как-то более осознанный, но опять же совершенное непонимание своего министра супружеской жизни. Наверное, потому что примеров рядом никогда не было.","Рефлексия, сожаление, принятие","Осознанность, поиск гармонии, самоуважение","Личный опыт респондента иллюстрирует влияние семейных сценариев на формирование собственных отношений, а также типичную для женщин её поколения стратегию поиска опоры в браке и последующего разочарования.",узел,,,,True,
6,Зрелость,Материнство и отношение к сыну,"Появление сына не было осознанной целью, но Марина выполняла материнские обязанности. Отношения с сыном скорее уважительные, но без выраженной эмоциональной близости.","Я делала все, что должна делать с мамочкой. Я, конечно же, восхищалась, я, конечно же, любовалась. Но вы знаете, вот это вот мерзкое ощущение, хорошо, что вы есть где-нибудь рядом. А чтобы я жила своей замечательной, интересной жизнью...","Сдержанность, некоторая вина, принятие","Ответственность, самостоятельность, уважение к личному пространству","Отношение к материнству у респондента рациональное, без идеализации, что может быть связано с отсутствием эмоциональной поддержки в собственной семье.",эпизод,,,,,
7,Поздняя зрелость,"Пенсия, повседневность и самоощущение","После выхода на пенсию Марина продолжает работать, её день структурирован, но кажется ей бессмысленным. Она отмечает отсутствие амбиций и выдающихся событий в жизни, воспринимает свою биографию как обычную.","День у меня бестолковый. Он у меня систематизирован, он у меня как лед, так и площадь.","Сдержанность, некоторая усталость, принятие","Рутина, порядок, отсутствие амбиций","Респондентка демонстрирует типичную для пенсионеров стратегию поддержания структуры дня, несмотря на ощущение пустоты и отсутствия значимых событий.",декларация,,,,,
8,Поздняя зрелость,Стрессоустойчивость и самооценка,"Марина не считает себя стрессоустойчивой, в сложных ситуациях теряется, переживает, но потом справляется. Гордится тем, что смогла организовать людей для решения сложной финансовой ситуации.","Я, по внукости своей, попала в поручители и следом за этим попала в судебную приставку... Я горжусь тем, что я смогла их сорганизовать на выгоду сразу.","Гордость, удивление собой, некоторая тревога","Ответственность, способность к самоорганизации",Даже в позднем возрасте респондентка способна к мобилизации ресурсов и проявлению лидерских качеств в сложных ситуациях.,эпизод,,,"финансовая ответственность, поручительство",,
1,"Пенсия, зрелый возраст",Изменение ритма жизни после выхода на пенсию,"Респондентка отмечает, что после выхода на пенсию ее жизнь стала менее организованной и более свободной от обязательств. Раньше был четкий распорядок, теперь — вариативность и отсутствие жестких рамок.","У меня сейчас в моей жизни нет вот того кирпича, который был у меня раньше. У меня раньше в понедельник, пятница генеральный убор... А вот в какой-то момент уже будучи на пенсии, я представляю, что мне изрядно надоело обязательность, обязательство, связанное с таким-то временем.","Облегчение, легкая усталость, принятие","Свобода, независимость, отсутствие обязательств",Переход на пенсию часто сопровождается изменением структуры времени и снижением внешних требований. Для респондента это стало возможностью отказаться от прежней дисциплины и испытать новый тип повседневности.,перелом,,,,True,
2,"Настоящее, зрелый возраст",Повседневная жизнь и досуг,"Дни респондентки проходят без четкого графика: работа, отдых, прогулки, посещение театра или кино, встречи с мужем. В выходные часто проводят время вместе, иногда с внуком.","Мы можем в театр пойти, можем в кино пойти, можем просто пройтись, прогуляться по аллее. Это система. Я порой не делаю между ними выхода.","Спокойствие, удовлетворение, легкая неорганизованность","Гибкость, совместное время с близкими, культурный досуг","Для пожилых людей характерно смешение будней и выходных, размывание границ между работой и отдыхом. Важную роль играет совместное времяпрепровождение с супругом и внуком.",эпизод,,False,,,
