id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,credit_usage,savings,delivery_usage,marketplaces,financial_planning
1,Взрослая жизнь (настоящее время),Семейное положение и текущее жильё,"Респондентке 46 лет, она родилась и всю жизнь прожила в Санкт-Петербурге, живёт с мужем и дочкой, сын живёт отдельно и снимает квартиру.","Мне, значит, 46 лет, я живу в Санкт-Петербурге, даже родилась здесь же, живу здесь с рождения, никогда в другом городе не жила, проживаю с мужем и с дочкой, сын живет один, ... квартиру снимает.","спокойствие, констатация фактов","семья, стабильность, самостоятельность детей","Респондентка демонстрирует привязанность к родному городу и ценит семейные связи, при этом отмечает самостоятельность взрослого сына, что отражает современные тенденции в структуре семьи.",декларация,"семья, рынок аренды жилья",0.0,сын участвует в рынке аренды жилья,,,,,,
2,Взрослая жизнь (ранняя зрелость),Профессиональный путь,"Респондентка работала риэлтором более 25 лет назад, затем долго не работала, позже устроилась в проектную организацию, а недавно работала полгода с пожилыми людьми, но ушла из-за отсутствия финансирования.","Когда ты давно-давно занималась риэлторством это было, Боже мой, более 25 лет тому назад. ... потом я пошла работать, когда сыну уже было 6 лет, и я работала в проектной организации. ... проработала полгода за пожилыми людьми. ... пришлось уйти, потому что там у меня не стало финансирования.","некоторая усталость, сожаление","трудолюбие, забота о других, финансовая стабильность","Профессиональная биография респондентки отражает типичные для женщин поколения 1970-х годов перерывы в трудовой деятельности, связанные с материнством, а также нестабильность занятости в социальной сфере.",эпизод,"рынок труда, социальные службы",,"участие в рынке труда, социальная работа",,,,,,
3,Юность / ранняя взрослость,Образование и давление семьи,"Респондентка училась в медицинском колледже по настоянию отца, хотя не хотела работать в медицине, диплома не получила.","Папа тогда сказал, что ты же знаешь, мои связи, я сделаю так, что ты не поступишь. И поэтому тогда нет. Меня тогда именно запихнули в медицинский. Я не хотела в жизни никогда работать в медицине...","разочарование, обида","самостоятельность, честность, неприятие давления","Ситуация иллюстрирует патриархальные практики в семье, когда родители определяют образовательную траекторию детей, а также сопротивление респондентки этим практикам.",перелом,"образовательные учреждения, семейный контроль",,,,,,,,
4,Детство,Семейные отношения и материальное положение,"В детстве семья респондентки была материально обеспечена благодаря работе отца в торговле, но отношения между родителями были холодными, с матерью отношения были сложными.","Семьи у меня всегда были в хорошем плане материального исключения, так как папа у меня был работник в торговле. ... к сожалению, не было, как бы, любви у мамы к папе...","грусть, некоторая обида","материальное благополучие, эмоциональная поддержка","Респондентка противопоставляет материальное благополучие и эмоциональный климат в семье, что типично для советских и постсоветских семей, где экономическая стабильность не всегда сопровождалась гармонией в отношениях.",узел,"семья, торговля",,,,,,,,
5,Детство и подростковый возраст,Здоровье и семейная забота,"В детстве респондентка много болела, долго не могли поставить диагноз, лечение было сложным и затяжным, в процессе участвовали мама и бабушка.","В детстве я много болела, то есть долгие не могли выявить причину заболевания... Мама ездила со клиентами, бабуля, которые уже живут уже, на драму уже сразу, то есть сразу вылечили...","благодарность, усталость","забота, настойчивость, семейная поддержка","История болезни и лечения показывает важность семейных ресурсов и неформальных практик (травы, связи) в советской и постсоветской медицине.",эпизод,"семья, здравоохранение",,,,,,,,
6,Подростковый возраст,Отношения с матерью и формирование характера,"В подростковом возрасте отношения с матерью ухудшились, респондентка отмечает свою упрямость и самостоятельность в принятии решений.","Мама говорила, что спасала меня таким характером. Я просто знаю, что хочу. Если я хочу, то меня спасти очень тяжело.","гордость, некоторая обида","самостоятельность, целеустремлённость",Формирование самостоятельности и упрямства как реакции на авторитарное воспитание и недостаток эмоциональной поддержки.,узел,семья,,,,,,,,
7,Детство и подростковый возраст,Мечты и зависть,"В детстве респондентка мечтала о машине, поездках на море, завидовала сверстникам с более молодыми и 'продвинутыми' родителями.","Я очень мечтала съездить на юган, кстати, на море. Я ни разу с детьми была на море. Первый раз была на море, когда моему сыну было 4, 5 года.","ностальгия, лёгкая зависть","материальные блага, впечатления, свобода","Мечты о материальных благах и поездках отражают дефицитный характер позднесоветского и постсоветского детства, а также важность символического капитала (молодые родители, принадлежность к комсомолу).",эпизод,"семья, школа",,,,,,,,
8,Взрослая жизнь (семейная жизнь),Знакомство и отношения с мужем,"Познакомилась с мужем на дискотеке в 16 лет, отношения длятся уже 30 лет, несмотря на сложности.","Я познакомилась в дискотеке, тогда еще не знала, что нормальных парней там нет. ... У нас 18 марта будет 30 лет знакомства.","ирония, гордость, некоторая усталость","долговременные отношения, верность","Длительные отношения, начавшиеся в подростковом возрасте, редкость для современных поколений; подчёркивается устойчивость брака несмотря на бытовые и личные трудности.",эпизод,"семья, досуговые практики (дискотека)",,,,,,,,
9,"Взрослая жизнь (семейная жизнь, настоящее)",Проблемы в браке (алкоголизм мужа),"В браке есть проблемы, связанные с алкоголизмом мужа, что влияет на психоэмоциональное состояние семьи.","Сейчас у меня была проблема с алкоголем. Чем больше полугода у меня муж остается трезвым, ... отражается на психическом состоянии, да, и его, соответственно, семье.","беспокойство, усталость, надежда","терпимость, забота, ответственность","Проблема алкоголизма в семье — типичная для постсоветского пространства, респондентка демонстрирует терпимость и попытки сохранить семью несмотря на трудности.",узел,"семья, здравоохранение (косвенно)",,,,,,,,
10,Школьные годы (старшие классы),Отношения со сверстниками и учителями,"В старших классах отношения со сверстниками были сложными, позже одна из одноклассниц извинилась за своё поведение.","Я училась в 10-11 классе в другой школе. не очень отношения такие. ... Она изменялась за свое поведение, за свое отношение к одной школе.","обида, прощение","справедливость, умение прощать","Опыт буллинга и последующего примирения типичен для подросткового возраста, показывает важность рефлексии и прощения в формировании взрослой идентичности.",эпизод,школа,,,,,,,,
