id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children,marital_status,migration_attempt,health_crisis,collapse_context,digital_participation
1,"Вступление в интервью, настоящее время",Социально-демографический портрет,"Респондентка Наталья, женщина, проживает в Екатеринбурге с мужем и сыном, имеет двоих детей и одну внучку, окончила местный университет.",Двое детей и одна внучка.,"спокойствие, удовлетворение","семья, образование, открытость","Начальный блок интервью формирует социально-демографический портрет респондента, что важно для дальнейшего анализа биографических траекторий и контекста жизненного опыта.",декларация,"местный университет, семья",0.0,,,,,,,
2,Детство,"Детство на природе, семейные традиции","Детство Натальи прошло в небольшом поселке Бесердь Свердловской области, в окружении природы, с активным участием семьи в жизни ребенка. Родители и несколько поколений занимались селекцией и работами с растениями, что повлияло на выбор дальнейшей образовательной и профессиональной траектории.","У меня детство шикарное было. Оно было на природе. Оно было во взаимодействии со всем живым, с растениями, с животными.","ностальгия, благодарность, радость","природа, семейные традиции, любовь, забота, познание","Детство в сельской местности с сильными семейными связями и традициями формирует устойчивую идентичность, ценность природы и межпоколенческого обмена знаниями.",эпизод,"семья, сельская община",0.0,,,,,,,
3,Детство и ранний подростковый возраст,Семейные отношения и воспитание,"Воспитание происходило в атмосфере любви, заботы и постоянного обмена знаниями между поколениями. Семья активно поддерживала развитие Натальи, несмотря на отсутствие высшего образования у родителей, они стремились к саморазвитию и передавали это детям.","Самое важное – любовь, конечно, забота. Некие знания, которыми родители обладали и делились, и они всегда развивались.","теплота, признательность","любовь, забота, саморазвитие, образование","Семейная поддержка и ориентация на развитие формируют у респондента уверенность в себе и открытость к миру, что способствует успешной социализации.",узел,семья,0.0,,,,,,,
4,Детство и подростковый возраст,Социальные связи и переезд,"Наталья была контактным ребенком, легко заводила друзей. В 10 лет переехала из родного поселка в Екатеринбург для занятий спортом (конькобежный спорт), жила в интернате, затем к ней переехала семья.","Я была как пробным камнем, заброшенным с Львовска. И за мной подтянулись все остальные.","открытость, уверенность, легкая ностальгия","дружба, адаптация, самостоятельность","Переезд в раннем возрасте ради спортивной карьеры и опыт жизни в интернате формируют самостоятельность и способность к адаптации, а также укрепляют семейные связи.",перелом,"интернат, спортивная школа",0.0,,,,,,,
5,Детство и подростковый возраст,"Образование, интересы и школьная жизнь","Наталья проявляла интерес к разным предметам, особенно к окружающему миру, рисованию, химии и радиотехнике. Училась в нескольких школах, включая престижную с профильным химико-биологическим уклоном. Активно участвовала в кружках и школьных мероприятиях.","Я ходила параллельно в два или в три кружка. Один – юный химик в Дворце пионеров, а другой – радиотехника.","увлеченность, радость, любопытство","познание, творчество, разнообразие интересов","Активное участие в кружках и профильных классах свидетельствует о поддержке образовательных инициатив в советской и постсоветской школе, а также о стремлении к саморазвитию.",эпизод,"школа, Дворец пионеров",0.0,,,,,,,
6,"Юность, окончание школы и поступление в вуз",Профессиональное самоопределение,"После окончания школы Наталья поступила в местный университет на химико-биологическое направление, что было логичным продолжением ее интересов и семейных традиций.",В университет после этого и отучившись стала работать.,"уверенность, удовлетворение","образование, профессионализм, преемственность",Поступление в вуз по профильному направлению отражает устойчивость образовательной траектории и влияние семейных традиций на выбор профессии.,узел,местный университет,0.0,,,,,,,
7,"Молодость, начало трудовой деятельности",Начало профессиональной карьеры,"Наталья начала работать в исследовательском институте, занималась мониторингом воздействия человеческой деятельности на окружающую среду. Параллельно с учебой работала по специальности.","Работала в исследовательском институте, которое мониторило взаимодействие человеческой деятельности с... выбросы какие-то, как это влияет, как это накапливается...","профессиональный интерес, удовлетворение","наука, экология, ответственность",Начало карьеры в научно-исследовательской сфере типично для выпускников естественнонаучных специальностей в советское и постсоветское время.,эпизод,исследовательский институт,0.0,1.0,,,,,,
8,"Молодость, ранняя зрелость",Профессиональный кризис и смена деятельности,"В возрасте 24-25 лет Наталья решила сменить сферу деятельности с биологии на химию, причиной стали неудовлетворительные условия труда и низкая зарплата. Работа биолога включала не только научные исследования, но и физический труд в сельском хозяйстве.","То ли зарплату мне она не устраивала, то ли это всё вместе. А тогда ещё были времена, что как только с полей приезжают биологи, их надо опять в сельхозполя отправлять. Просто это было жуть жуткое.","разочарование, усталость, решимость","достойные условия труда, профессиональное развитие","Смена профессии под влиянием экономических и организационных факторов характерна для переходного периода 1990-х годов, когда научная сфера испытывала кризис.",перелом,"исследовательский институт, химическая промышленность",0.0,1.0,,,,,,
1,"студенчество, ранняя молодость",Первые трудовые опыты и разочарование в формализованной работе,"После окончания учебы респондентка устроилась на работу в хозрасчетную организацию, где царила строгая дисциплина и формализм. Это не соответствовало её свободолюбивой натуре, и она начала искать новое место работы.","Там не было того духа, который был в Ислятельском институте. Они какие-то хозрасчётные организации, в которых всё было чётко прописано – востока пришёл, востока ушёл, на обед 45 минут, ни секунды больше. Моя свободная натура как-то не восприняла это.","разочарование, неудовлетворенность","свобода, творческое самовыражение, индивидуальность","Респондентка сталкивается с конфликтом между личными ценностями и требованиями советской трудовой дисциплины, что типично для людей с творческим складом характера в условиях формализованной экономики позднего СССР.",перелом,хозрасчётная организация,,0.0,,,,,,
2,"молодость, 24-30 лет","Работа в филармонии, поиск себя в творческой среде","Респондентка переходит на работу администратором в филармонию, где находит больше свободы и творческой атмосферы. Работает сначала на стационаре, затем ездит с бригадами по области, позже становится ответственным за размещение гостей.","Где биология, где химия. ... свободолюбивая скорее. Ну и, короче, я там проработала, да, прилично. администратором.","удовлетворение, интерес","свобода, творческая самореализация, разнообразие деятельности","Переход в сферу культуры отражает стремление к самореализации вне рамок формализованной экономики. Работа в филармонии дает опыт организации, коммуникации и мобильности.",эпизод,филармония,,0.0,,,,,,
3,"ранняя зрелость, 30-35 лет","Переход в коммерцию, совместная работа с мужем","В период экономических перемен респондентка уходит в коммерцию, работает в разных фирмах, занимается продуктами, техникой, недвижимостью. Совмещает работу с мужем, который также вовлечён в коммерческую деятельность.","Все пошли в коммерцию. Я что-то решила тоже в отпуске подработать, посмотреть, что это как-то. Параллельно с филармонией. А потом прямо устроилась на какую-то фирму. И стала там работать. Ещё появился муж, который тоже поспособствовал этому.","любопытство, адаптация, прагматизм","адаптивность, семейное партнерство, материальная устойчивость","Переход в коммерцию типичен для начала 1990-х, когда многие специалисты искали новые источники дохода. Важную роль играет семейное партнерство и совместное освоение новых рынков.",перелом,,1.0,1.0,,,,,,
4,"ранняя зрелость, 30-35 лет",Работа в недвижимости и улучшение жилищных условий,"Работая в фирме по недвижимости, респондентка получает навыки, которые помогают ей самостоятельно улучшить жилищные условия семьи, быстро организовав сделку по обмену квартиры.",Какие-то навыки и работа вот эта мне помогла менять квартиру мужа. С одного района к другому. Не удовлетворяли условия проживания. И очень быстренько я сделочку прообернула.,"удовлетворение, гордость","практичность, забота о семье, самостоятельность","Жилищный вопрос остается ключевым для семей с детьми в постсоветский период. Навыки, полученные на рынке, используются для решения личных задач.",узел,,1.0,1.0,,,,,,
5,"зрелость, 35-50 лет",Совмещение работы и материнства,"В этот период респондентка совмещает работу по сбыту продукции с воспитанием двух детей, активно занимается их развитием, посещает развивающие мероприятия.","Ну, значит, параллельно с работой по сбыту продукции... я заимела двух детей, растила их, выводила во всякие развивающие места, частным образом и не частным образом.","усталость, ответственность, забота","семья, развитие детей, трудолюбие",Типичная для женщин двойная нагрузка: совмещение профессиональной и семейной сфер. Подчеркивается важность развития детей и активное участие в их жизни.,эпизод,,,,2.0,,,,,
6,"зрелость, 50+","Продолжение трудовой активности, поиск новых сфер","Респондентка не прекращает работать, несмотря на возраст. Занимается продажей чая и кофе, уходом за садами, интересуется массажем, посещает досуговые организации для пенсионеров, планирует вести блог о здоровом питании.","Нет, я не могу не работать. Наверное, я не работать буду тогда, когда я уже буду похоронена.","энергичность, любознательность, оптимизм","активность, саморазвитие, польза для других","Современные пенсионеры часто продолжают работать, ищут новые формы занятости и самореализации. Важна социальная вовлеченность и стремление быть полезной.",декларация,досуг для пенсионеров,,1.0,,,,,,
7,"зрелость, 30+",Семейная жизнь и отношения с мужем,"Респондентка вышла замуж примерно в 30 лет, отношения с мужем строятся на партнерстве, взаимном уважении и совместной деятельности. Семья вместе уже 33 года.","Ну, раз мы уже 33 года вместе, так, ну, о чём-то говорит, да.","спокойствие, удовлетворение","стабильность, партнерство, уважение","Долгосрочные браки, основанные на совместной деятельности и взаимном уважении, типичны для поколения, выросшего в советское время.",эпизод,,,,,замужем,,,,
8,"зрелость, 33+",Рождение и воспитание детей,"Дети появились относительно поздно (примерно в 33 года и позже). Их появление сильно повлияло на приоритеты респондентки, все подстраивалось под них, возникал конфликт между работой и материнством.","И поэтому все под них подстраивалось. ... Обычно это вот такой конфликт интересов был. Работодатель хочет, чтобы у него, значит, с утра до ночи все на него пахали. ... А у тебя же вырастить здоровых, одноценных людей.","забота, напряжение, ответственность","семья, забота о детях, баланс между работой и личной жизнью",Позднее материнство и попытки совмещать работу и воспитание детей отражают изменения в структуре семьи и трудовой занятости женщин в постсоветское время.,узел,,,,2.0,,,,,
