id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
1,"Настоящее время, зрелость (63 года)","Текущее положение: семья, жильё, пенсия","Респондент живёт с женой в отдельной квартире в пригороде Санкт-Петербурга, имеет взрослого сына, домашнее животное (собаку), находится на пенсии (военной и гражданской).",Женой. Отдельная квартира у меня.,"спокойствие, удовлетворённость","семья, стабильность, независимость","Типичная для военных пенсионеров ситуация: проживание в собственном жилье, наличие двух пенсий, поддержание семейных связей.",эпизод,"пенсионная система, военные структуры",1.0,0.0,,
2,Детство и юность,Семейное происхождение и детство,"Родился в Выборге, семья военных, переезды по службе отца (Выборг — Байконур — Ленинград). Воспитывался в атмосфере военной дисциплины, но без жёсткости. В семье появился младший брат, что стало неожиданным событием.","Отец, мать с Выборга приехали в Ленинград. Да, отец учился в военной академии. Я рос в школе. И потом отца отправили служить на Байконур, это Казахстан. А мы туда с мамой переехали, у нас родился там еще мой брат младше меня, на 10 лет.","нейтрально-позитивный, лёгкая ностальгия","семья, традиции, поддержка","Военная мобильность семьи, формирование идентичности через принадлежность к военной династии. Переезды и смена окружения — типичный опыт для детей военных.",эпизод,"военные учреждения, семья",,,True,
3,Детство,Воспитание и школьные годы,"Воспитывался строго, но без жестокости. Учился средне, любимые предметы — география и математика. Имел небольшую компанию друзей, участвовал в школьных мероприятиях.","Ну, как бы, но ремень доставали, но особо не применяли.","спокойствие, лёгкая ирония","дружба, умеренная дисциплина, любознательность","Воспитание в советской семье с элементами строгости, но без насилия. Социальная адаптация через школьное сообщество.",эпизод,"школа, семья",,,,
4,Детство,Мечты и впечатления,"Мечтал стать космонавтом, под влиянием эпохи и проживания на Байконуре. Яркие воспоминания — трагедия с космонавтами и рождение брата.","Потому что я родился, когда Гагарин полетел в космос.","ностальгия, лёгкая грусть","мечтательность, сопричастность к эпохе",Влияние советской космической мифологии на детские мечты. Эмоциональная вовлечённость в коллективные переживания.,эпизод,"космическая программа, семья",,,,
5,Детство,Опыт преодоления и обучение,"Чуть не утонул в деревне у бабушки, после чего мама отдала в секцию плавания. Научился плавать, что стало важным личным достижением.","А, ну как я у бабушки отдыхал на деревне, чуть не утонул... Меня мама водила на плавание в спортивную школу.","благодарность, лёгкое волнение","безопасность, забота, обучение",Реакция семьи на опасный инцидент — забота и обучение навыкам. Типичный советский опыт: спортшкола как социальный лифт и инструмент социализации.,эпизод,"семья, спортивная школа",,,,
6,"Юность, ранняя зрелость",Выбор профессии и образование,"Поступление в военное училище было решением родителей, продолжение семейной династии. Самостоятельного выбора не было, но профессия считалась престижной и перспективной.","В то время решают не мы, а родители в основном решали. Говорят, давай будешь военным, потому что папа военный.","принятие, лёгкая ирония","семейная традиция, стабильность, престиж","Коллективистская модель выбора профессии, характерная для советского времени. Социальный престиж военной службы.",узел,"военное училище, семья",,,,
7,Зрелость,Карьера военного и гражданская жизнь,"Служба в разных городах, продвижение по службе, получение высшего военного образования. После увольнения — работа помощником депутата и в транспортной компании, переход к гражданской жизни.","В 2002 году я стал работать уже как обычный гражданский. Сначала помощником депутата, а потом стал работать в транспортной компании.","спокойствие, удовлетворённость","профессионализм, адаптация, стабильность","Плавный переход от военной к гражданской карьере, использование профессиональных и социальных связей для трудоустройства.",эпизод,"армия, гражданские организации, транспортная компания",,1.0,,
8,"Зрелость, поздняя зрелость",Рефлексия о профессиональном пути и творчестве,"Понимание, что изначальный выбор профессии был не полностью осознанным. После выхода на пенсию открыл в себе творческие способности, стал заниматься фотографией, достиг успехов в этой области.","Я сейчас просто понял, что я вообще творческий человек. И мне нужно было быть художником или дизайнером.","лёгкая грусть, удовлетворение, самопринятие","самореализация, творчество, развитие","Поздняя самореализация, характерная для людей, чья молодость прошла в условиях ограниченного выбора. Творчество как способ самовыражения после основной карьеры.",перелом,"Союз фотохудожников России, фотобанки",,1.0,,
9,Зрелость,Социальные связи и трудоустройство,"Работу после армии находил через знакомых, что воспринимает как норму. Отмечает важность рекомендаций и социальных связей для трудоустройства.","Везде есть знакомых. Никому это так не нужно, пока знакомые, заменяя слово, не замолвятся. Это жизнь не так.","ирония, реализм","социальный капитал, взаимопомощь","Сетевой характер трудоустройства в постсоветской России, высокая роль неформальных связей.",декларация,неформальные социальные сети,,1.0,,
1,Переход от военной службы к гражданской жизни,Работа в транспортной компании и начало занятия фотографией,"После ухода с военной службы респондент начал работать в транспортной компании в Екатеринбурге, что дало ему свободное время для занятия фотографией. Он открыл фотостудию, арендовал зал и принимал клиентов, совмещая это с основной работой.","У меня была возможность в свободное время... Я открыл фотостудию, арендовал зал, у меня была аппаратура, у меня приглашались люди, которым нужно было фотографии.","Умеренно позитивный, деловой, с оттенком удовлетворения","Творчество, самореализация, независимость",Переход от стабильной государственной службы к гибридной занятости (основная работа + самозанятость) отражает тенденцию к диверсификации доходов и поиску личной реализации в постсоветском обществе.,эпизод,"транспортная компания, фотостудия",,1.0,,
