id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,market_participation,housing_promised,ritual_participation,housing_status,housing_actual
1,Детство и юность,Семейное происхождение и ранние годы,"Валерий родился и вырос в семье, где родители развелись, но отец продолжал участвовать в жизни детей. Был брат, который умер в 59 лет. Детство прошло в Санкт-Петербурге, учился в 198-й школе, затем поступил в училище.","Мама с папой были разведены. Но папа нас не бросал. Всегда навещал, помогал. В этом плане все замечательно было.","спокойствие, благодарность","семейная поддержка, благодарность родителям, преодоление трудностей","Ранний опыт развода родителей компенсировался активным участием отца в жизни детей, что формировало чувство стабильности и поддержки. Типичная для советского времени ситуация, когда развод не означал полного разрыва с детьми.",эпизод,"школа, семья",1.0,,,,,
2,Юность и ранняя зрелость,Образование и профессиональное становление,"После окончания 8 классов Валерий поступил в училище, где получил среднее образование и специальность матроса. Работал на Леноке, участвовал в трудовом лагере, где занял первое место. После училища остался работать на берегу, не пошёл в загранплавание из-за закрытой визы.","Я мог, конечно, пойти плавнее, но теперь месяц без захода на берег. Загранплавание. Ну, хотел.","легкая досада, принятие","стремление к самостоятельности, трудолюбие, адаптация к обстоятельствам","Профессиональное самоопределение происходило в рамках советской системы распределения и ограничений (например, невозможность попасть в загранплавание). Участие в трудовых лагерях и получение специальности типично для поколения 1970-х.",эпизод,"ПТУ, трудовой лагерь",,работа по распределению,,,,
3,Молодость,Служба в армии и начало трудовой деятельности,"Служил в армии в Мурманске, после службы получил значительную по тем временам сумму денег. Рассматривал разные варианты трудоустройства, в том числе работу в такси, где работал его отец.","Я в такси пойду. У меня папа в такси работает. А тогда у меня в такси как в космос, наверное, попасть.","ожидание, воодушевление","семейная преемственность, материальная самостоятельность","Армейская служба воспринимается как обязательный этап взросления. Профессия отца становится ориентиром для выбора собственной карьеры, что характерно для советской эпохи.",эпизод,"армия, таксопарк",,работа по найму,,,,
4,Зрелость,Работа и семейная жизнь,"Работал на заводе, затем сменил несколько профессий, в том числе был плавильщиком и занимался сваркой. Женился, родились три дочери. Семейная жизнь была непростой из-за алкоголизма жены, которую он пытался лечить. После 12 лет брака развёлся.","Женой не повезло. В каком плане? Она пьющая была. Я ее три раза подшивал. 12 лет я с ней прожил. 9 лет замечательно было, когда я ее подшивал.","разочарование, стойкость","ответственность за семью, забота о детях, терпение","Семейные трудности, связанные с алкоголизмом, типичны для постсоветского пространства. Попытки сохранить семью и забота о детях демонстрируют традиционные ценности и личную ответственность.",узел,"завод, семья",,,False,,,
5,Поздняя зрелость,Потери и семейные связи,"Жена умерла в относительно молодом возрасте из-за алкоголизма. Валерий поддерживает отношения с дочерьми и внуками, помогает им, ездит на дачу, участвует в семейных ритуалах (поездки на кладбище).","Жена... Когда уже дети стали взрослые, я ее... Ну, и она умерла. Ей 40 с чем-то лет было. И, короче, довела себя до ручки и умерла.","грусть, принятие","семейная память, забота о близких, уважение к традициям",Потеря супруги и уход за могилами родственников подчеркивают важность семейных связей и ритуалов памяти в российской культуре. Поддержка детей и внуков становится главным содержанием жизни на пенсии.,эпизод,"семья, кладбище",,,,поездки на кладбище,,
6,Настоящее время (пенсия),"Жизнь на пенсии, материальное положение","Валерий живет с дочерью и внучкой в трехкомнатной квартире в Санкт-Петербурге. Официально не работает, получает пенсию и льготы, иногда подрабатывает неофициально. Оценивает пенсию как низкую, выражает тревогу за будущее детей и внуков.","Я на пенсии. Сижу, конечно, это не пенсия, а слезы, что тут говорить. Еще я говорил, что я так подрабатываю.","разочарование, тревога, забота","забота о семье, ответственность, скромность","Пенсионеры в России часто сталкиваются с низким уровнем дохода и необходимостью подрабатывать. Основная забота смещается на благополучие детей и внуков, что отражает межпоколенческую солидарность.",декларация,"пенсионный фонд, семья",,неофициальная подработка,,,совместное проживание с дочерью и внучкой,
7,Рефлексия и оценка эпох,Сравнение поколений и эпох,"Валерий с ностальгией вспоминает советское время (эпоху Брежнева) как более спокойное и стабильное. Современность оценивает негативно, выражает обеспокоенность за будущее детей и внуков.","В Мое поколение, взять Брежневское... Это самое, что было из всей жизни. Было спокойно работать, учиться, работать.","ностальгия, тревога","стабильность, безопасность, забота о будущем поколении","Ностальгия по советскому прошлому характерна для старшего поколения, особенно на фоне экономической нестабильности и социальной неуверенности в настоящем.",декларация,"государство, эпоха Брежнева",1.0,,,,,
1,Детство,Семейное окружение и ранние воспоминания,"Респондент вспоминает о родителях, их работе, поддержке, поездках на Украину, жизни у бабушки и дяди, сельском быте, детских играх и болезненном детстве.","Родителям у меня все было замечательно. Мастером работал. Мама у меня заработала питью... В Украину я все время ездил... Бабушка держала козу, а дядя Вася... две коровы держал, быка...","Теплота, благодарность, ностальгия","Семья, поддержка, трудолюбие, связь поколений","Воспоминания респондента о детстве окрашены позитивно, подчеркивается роль семьи, трудовой этики родителей, а также важность сельского уклада и межпоколенческих связей. Отмечается советская практика поощрения детей через школу и участие в пионерских лагерях.",эпизод,"школа, завод, пионерский лагерь, сельское хозяйство",,False,False,,,
2,Детство и юность,Культурная идентичность и языковая адаптация,"Респондент рассказывает о жизни в украинском селе, проблемах с русским языком после возвращения, дразнилках в школе, а также о спортивных увлечениях и ограничениях по здоровью.","Когда я приехал с Украины... я русский не знал. Просто говорил по-украински. Почему мне, так говоря, русский очень плохо пошел. В школе, я имею в виду.","Смущение, легкая обида, принятие","Идентичность, адаптация, спорт, здоровье","Опыт миграции между регионами СССР, столкновение с языковыми барьерами и школьной социализацией. Спорт выступает как средство интеграции и самореализации, но ограничения по здоровью влияют на жизненный путь.",эпизод,"школа, спортивные секции",,False,False,,,
3,"Взросление, ранняя зрелость",Преодоление трудностей и экстремальный опыт,"Респондент рассказывает о криминальном эпизоде после армии, связях с цыганами, годе заключения за угон машины, особенностях советской пенитенциарной системы и влиянии этого опыта на дальнейшую жизнь.","Я когда в таксомоториях, связался с цыганами... из-за этого я сел, короче, на годик... Ну, я имею в виду, сейчас, в которой крестов нету, там посидел до этого...","Сожаление, рефлексия, принятие","Опыт, ответственность, честность, судьба","Криминальный опыт в молодости, типичный для части советской молодежи, демонстрирует уязвимость к влиянию окружения и особенности советской карательной системы (много заключённых за мелкие правонарушения).",перелом,"армия, таксомоторный парк, тюрьма (Кресты, Губар)",,False,False,,,
