id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,family_structure,institution,region,market_participation,marital_status,event,family_support,housing_promised,children,spouse_employed,work_mode,work_partner,housing_type,pets,social_guarantees,family_involvement,media_consumption,collapse_context
1,Вступление в интервью,Знакомство и правила интервью,"Интервьюер знакомится с респондентом, объясняет цель и структуру интервью, подчеркивает важность личного рассказа и отсутствие правильных/неправильных ответов.","Задача рассказать именно о том, что вы чувствуете, что вы переживаете, может быть, с чем вы сталкивались.",нейтрально-доброжелательный,"открытость, честность, уважение к опыту","Стандартная процедура начала глубинного интервью, направленная на создание доверительной атмосферы и снижение тревожности респондента.",декларация,,,,,,,,,,,,,,,,,,
2,Детство,Семья и ранние воспоминания,"Респондент вспоминает детство как обычное, среднестатистическое, отмечает, что воспоминания о детском саде смутные, а о школе — более четкие. В семье были бабушка, дедушка, брат.",Обычное детство среднестатистическое ребенка тех времен.,"спокойствие, нейтральность","семейственность, стабильность","Респондент не выделяет травмирующих или особо ярких событий, что может говорить о стабильной семейной обстановке и отсутствии сильных стрессов в раннем возрасте.",эпизод,"бабушка, дедушка, брат",,,,,,,,,,,,,,,,,
3,Школьные годы,Учёба в школе,"Школа запомнилась как этап, где учёба давалась относительно неплохо, но без особых успехов. Вспоминает себя как 'трошника'.","В школе я, можно сказать, был трошником, а в универе уже как-то... стал ближе к отличнику.","самоирония, спокойствие","развитие, самосознание",Переход от среднего ученика к более успешному студенту в университете может говорить о взрослении и изменении отношения к учёбе.,эпизод,,школа,,,,,,,,,,,,,,,,
4,Поступление в университет,Выбор профессии и вуза,"Выбор вуза и профессии был скорее случайным, не связан с семейной традицией или влиянием друзей. Ограниченный выбор учебных заведений в родном городе.","Как-то просто выбирал, выбирал и выбирал.","безразличие, легкая ирония","прагматизм, адаптация",Отсутствие выраженной стратегии выбора профессии типично для молодых людей из небольших городов с ограниченными возможностями.,эпизод,,университет,родной город,,,,,,,,,,,,,,,
5,Студенчество и армия,"Учёба, армия, магистратура","После университета респондент ушёл в армию, затем вернулся, не стал восстанавливаться, а пошёл работать, позже поступил в магистратуру по другой специальности.","Университет, посылка на магистратуру, взяла по теме шоу в армию.","спокойствие, рациональность","гибкость, самостоятельность",Поступление в армию после вуза и смена специальности в магистратуре — пример адаптации к обстоятельствам и поиска себя.,узел,,"университет, армия, магистратура",,,,,,,,,,,,,,,,
6,Начало профессиональной деятельности,Работа тренером по футболу,"Начал работать тренером по футболу в центре подготовки, имел педагогическое образование, занимался с детьми, поддерживает отношения с некоторыми воспитанниками.","Ну, я им был, тренер.","гордость, удовлетворение","помощь другим, профессионализм","Работа с детьми в спорте часто воспринимается как социально значимая, но малооплачиваемая.",эпизод,,центр подготовки спортивных команд,,государственный сектор,,,,,,,,,,,,,,
7,Переход к новой профессии,Переход в МВД,"Из-за низкой оплаты в детском спорте респондент решил перейти работать в МВД, где начал карьеру инспектора ГИБДД.",Детский спорт сейчас плохо финансируется.,"разочарование, прагматизм","материальная стабильность, безопасность","Переход из социальной сферы в силовые структуры обусловлен экономическими причинами, что типично для молодых специалистов.",перелом,,"МВД, ГИБДД",,государственный сектор,,,,,,,,,,,,,,
8,Профессиональное становление,Работа в МВД,"Работает инспектором ГИБДД, сталкивается с жалобами и взысканиями, считает это частью профессии. Описывает специфику работы и отношение людей к полиции.","Если их нет, значит, ты плохо работаешь. У любого человека, который работает, всегда на него будут жалобы.","реализм, принятие","ответственность, профессионализм",Восприятие жалоб и взысканий как нормы указывает на адаптацию к бюрократической культуре силовых структур.,эпизод,,"МВД, ГИБДД",,,,,,,,,,,,,,,,
9,Личная жизнь,Знакомство и брак,"Познакомился с будущей супругой еще в университете, долго встречались, поженились после армии. Личная жизнь развивается постепенно и стабильно.",Встречались долго. Уже поженились после армии.,"спокойствие, удовлетворение","верность, стабильность","Традиционная модель отношений: длительный период знакомства, брак после завершения обязательных этапов (армия, учеба).",эпизод,,,,,в браке,,,,,,,,,,,,,
10,Служба в армии,Опыт службы,"Респондент сам принял решение пойти в армию, взял академический отпуск, служил там, куда хотел. Близкие переживали, но не отговаривали.",Взял академию и ушел в арку.,"уверенность, спокойствие","самостоятельность, долг",Армия воспринимается как обязательный и естественный этап взросления для мужчин.,эпизод,,армия,,,,,,,,,,,,,,,,
