id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation
1,Детство и раннее детство (начало 1990-х),Семейное происхождение и переезд,"Респондент родился в начале 1990-х, в период распада СССР, в небольшом городе рядом с Нижним Новгородом. В возрасте около двух лет семья переехала в Нижний Новгород по работе родителей, которые оба трудились на градообразующем предприятии (газ).","Родился я там, потому что там все у меня родственники мои... потом часть родственников, мы в том числе, когда мне было, наверное, ему года два, мы уехали в город Нижний Новгород...",нейтрально-ностальгический,"семья, стабильность, принадлежность к сообществу","Типичная для постсоветского пространства история: переезд семьи вслед за работой на крупное предприятие, высокая роль родственных связей и градообразующих компаний.",эпизод,градообразующее предприятие (газ),1.0,,
2,Детство и школьные годы (1990-е — начало 2000-х),Школьная жизнь и атмосфера 90-х,"Школьные годы прошли в криминогенной атмосфере 90-х: драки, буллинг, криминал, алкоголь и наркотики были частью повседневности. Вспоминает резонансное убийство одноклассника, что оставило сильный след.","В 90-х у нас присутствовал везде дух квантитизма... положить кого-то в углу, попурить сигарету за углом... А драки, расхорки, поведение не так, как сейчас в школе...","тяжелое, тревожное, с оттенком иронии","выживание, адаптация, честность в оценке прошлого",Рассказ иллюстрирует травматичный опыт взросления в условиях социальной нестабильности и криминализации подростковой среды в 90-х.,узел,,,True,
3,"Юность (после школы, 2000-е)",Профессиональное образование и первые шаги в профессии,"После 9 класса поступил в колледж на технолога общественного питания. Образование дало возможность попасть в престижный ресторан, где начал карьеру повара.","Пошел на повара, но там было не повара, а технолог-продуктор общественного питания... По знакомству как-то там повезло попасть в самый лучший ресторан Нижнего Новгорода.",прагматичный оптимизм,"профессионализм, возможность роста, практичность","Поступление в колледж после 9 класса — распространенная стратегия среди молодежи, ориентированной на быстрое получение профессии и самостоятельность.",эпизод,колледж пищевой отрасли,,,начало трудовой деятельности
4,"Молодость (начало трудовой карьеры, 18-24 года)","Работа в ресторанной сфере, профессиональный рост и разочарования","Работал в разных ресторанах, прошел путь от повара до шеф-повара. Столкнулся с трудностями руководства и неудачным опытом управления рестораном на грани закрытия.","Шеф-повар – это два слова. Повар – я окей, а шеф – не очень. И поэтому из-за этого ничего не получилось.","самокритика, разочарование, рефлексия","честность, профессиональное развитие, самосознание","Показателен переход от энтузиазма к осознанию ограничений собственных soft skills, типичный для молодых специалистов, впервые сталкивающихся с управленческими задачами.",перелом,,,,ресторанная сфера
5,Ранняя зрелость (25+),Переход к новой сфере — доставка еды,"После разочарования в ресторанной сфере перешел работать курьером в Яндекс.Еду. Оценил стабильность и разнообразие новой работы, несмотря на стереотип о временности такой занятости.","Парадокс в том, что говорят, что Яндекс всегда это подработка... Но вот из моей биографии это, наоборот, была самая стабильная работа.","удивление, удовлетворение","стабильность, самостоятельность, открытость к переменам","Переход в сферу платформенной занятости (gig economy) воспринимается как шаг к большей стабильности, что противоречит массовым представлениям о временности такой работы.",перелом,Яндекс.Еда,,,платформенная занятость
6,Настоящее время (2024-2025),Отношение к политическим и острым темам,"Респондент осторожно относится к обсуждению политических тем, особенно связанных с СВО, подчеркивает важность конфиденциальности и личных границ.","Хотел бы говорить об этом вообще со всей страной... но не улетит ли это после нашего разговора туда-потуда, куда бы я не хотел...","настороженность, тревога","безопасность, приватность, честность","Демонстрирует характерную для современного российского общества осторожность в публичном обсуждении политических вопросов, особенно в условиях неопределенности и страха последствий.",декларация,,,True,
1,Работа в ресторане до Яндекса,Ограниченность и монотонность работы по найму,"Респондент описывает опыт работы в ресторане, где зарплата фиксирована, усилия не влияют на доход, а начальство и коллектив могут создавать стрессовые ситуации.","Как бы на тебя ни кричали, как бы на тебя ни воздействовали, как бы активно ты ни работал, ты будешь получать одну и ту же сумму. Всё. Две тысячи за смену. Всё.","Разочарование, усталость, фрустрация","Справедливость, самостоятельность, признание профессионализма",Опыт работы в традиционной иерархической структуре с фиксированной оплатой и низкой возможностью самореализации. Отражает типичные проблемы низкоквалифицированного труда в России.,эпизод,ресторан,,True,наёмный труд
2,Переход к работе в Яндекс.Доставке,Обретение самостоятельности и контроля над доходом,"Переход на работу в Яндекс.Доставке дал респонденту ощущение свободы, возможность самому влиять на свой доход и график, что воспринимается как значительный позитивный сдвиг.","Я сам влияю на свой доход. Я захотел проводить 4 часа, я проводил 4 часа. Если мне нужно что-то накопить, я выбираю то место и такое количество времени, где я знаю, что я на это повлияю и заработаю.","Удовлетворение, воодушевление, гордость","Свобода, самостоятельность, самореализация",Переход к самозанятости воспринимается как способ избежать давления начальства и получить контроль над жизнью. Важно для представителей новой экономики (гиг-экономика).,перелом,Яндекс.Доставка,,True,самозанятость
3,Работа в доставке,Особенности и вызовы самозанятости,"Респондент отмечает, что в доставке сам решает, когда работать, и воспринимает погодные и иные трудности как вызов, а не как принуждение.","Для меня это, наоборот, как вызов. Мне не слабо вот этот дождь, пока вы там сидите, заставлять вам ездить.","Азарт, уверенность, независимость","Самостоятельность, вызов, внутренняя мотивация","Вызовы воспринимаются как часть личного выбора, а не внешнего давления. Самозанятость формирует иной тип отношения к труду.",эпизод,Яндекс.Доставка,,,самозанятость
4,Личная жизнь: отношения и семья,"Отношения, брак, рождение ребенка","Респондент рассказывает о спокойных расставаниях в прошлом, браке и рождении сына, что повлияло на его приоритеты и поведение.","Почувствовал, что я пример, что меня копируют. И копировать нужно только хорошим.","Спокойствие, ответственность, забота","Семья, пример для ребенка, ответственность","Семья и рождение ребенка становятся важным фактором для изменения поведения и ценностей, типично для перехода к взрослой жизни.",узел,,,True,
5,Планы и мысли о переезде,Потенциальная миграция,"Респондент и его семья часто обсуждают возможность переезда, даже в другую страну, что говорит о поиске лучших условий жизни.","Хотели бы переехать, да? В другой регион, другой город? В страну.","Интерес, открытость к переменам","Поиск лучшего, открытость, мобильность","Планы на миграцию характерны для молодых семей, ищущих лучшие условия для себя и детей.",декларация,,,,
