id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children_count,collapse_context
1,Детство (1986–2002),"Семья, ранние годы и хозяйство","Респондент родился в 1986 году в селе Свердликово Курской области, в семье пожилых родителей. Детство прошло в сельской местности, в условиях большого хозяйства и необходимости помогать родителям с ранних лет. Семья была большой и многодетной, с многочисленными родственниками по обеим линиям, но с разной степенью близости.","Все свое детство я провел как детство. Юнош, ну детство до 16 лет провел в этом же населенном пункте в Свердликово. Жил, учился там. Хозяйство было у нас очень большое, родители были пенсионерами, на пенсию было сложно жить, и занимались хозяйством, был огород собственный, ну, собственно, это и помогало существовать и жить.","Теплая ностальгия, благодарность, некоторая грусть","Семья, трудолюбие, взаимопомощь, ответственность","Детство респондента прошло в условиях сельской общины, где важны коллективизм, взаимопомощь и труд. Большое значение придавалось семейным связям и поддержке, а также самостоятельности с раннего возраста.",эпизод,"Свердляковская средняя школа, сельское хозяйство",0.0,False,,
2,Подростковый возраст (2002–2004),Переезд и начало самостоятельности,"В 9 классе по инициативе сестры респондент переезжает из села в Москву (Балашиха) для продолжения учебы. Испытывает трудности адаптации, тоскует по дому, но родители настаивают на необходимости образования и переезда.","Потом, значит, в один прекрасный момент, летом, средняя сестра позвонила маме и предложила, чтобы я, так как я уже был в девятом классе, предложила, чтобы я ехал в Москву учиться... Желание уехать большое было, потому что я все время рос там, там родина, там все было, а здесь я приехал, я один был.","Тревога, неуверенность, тоска по дому, но и надежда","Образование, самостоятельность, поддержка семьи","Переезд из села в город — типичная стратегия мобильности для молодежи из сельской местности. Семья выступает инициатором и поддержкой, несмотря на эмоциональные трудности.",перелом,"ПТУ, семья сестры в Москве",1.0,False,,
3,Юность и ранняя взрослость (2004–2008),Образование и первые шаги в профессии,"Респондент поступает в ПТУ на газоэлектросварщика, хотя хотел быть автомехаником. После ПТУ пытается получить высшее образование в Славянском деловом институте, параллельно работает в Макдональдсе, но бросает институт на втором курсе из-за личных обстоятельств и желания самостоятельности.","Хотел поступить в экономический колледж в Москве, но не хватило двух баллов... Пошел учиться в ПТУ... Пошел учиться дальше, устроился в Славянский деловой институт на факультет экономики, стал учиться там. Параллельно работал в Макдональдсе, сам себе оплачивал учебу... Два с половиной года, да, я отучился. И бросил учебу.","Разочарование, сожаление, но и гордость за самостоятельность","Самостоятельность, труд, образование, ответственность","Путь респондента отражает типичную для провинциальной молодежи траекторию: профессиональное образование, попытка получить высшее, ранний выход на рынок труда. Важна поддержка семьи, но растет самостоятельность.",узел,"ПТУ, Славянский деловой институт, Макдональдс",0.0,True,,
4,Взрослая жизнь (2008–2018),Карьера и создание семьи,"Респондент делает карьеру в одной компании (Макдональдс/Вкусно и точка), начиная с низовой позиции и достигая должности директора ресторана. Здесь же знакомится с будущей супругой, создает семью, появляются дети.","Отработал я в компании 22 года. Обычно у работника, который мыл полы в зале и в туалетах, я стал директором ресторана... В компании я познакомился с супругой, она тоже там работала... Поженились мы, появился у нас один ребенок, потом второй.","Гордость, удовлетворение, благодарность","Карьерный рост, семья, трудолюбие, развитие","Долгосрочная работа в одной компании с возможностью карьерного роста — редкость для современной России, но характерна для крупных международных корпораций. Работа становится не только источником дохода, но и пространством для социальных связей и личной жизни.",узел,Макдональдс/Вкусно и точка,0.0,True,,
5,Настоящее время (2018–2025),"Смена работы, семейная жизнь и новые интересы","В 2018 году респондент уходит с должности директора и переходит в другую компанию. В семье появляется третий ребенок. Свободное время посвящает работе и детям, активно вовлечен в спортивную жизнь сыновей, сам начинает заниматься спортом.","В 2018 году я в должности директора уволился и ушел в другую компанию работать. И буквально два года назад у нас появился третий мальчик... Все свободное время посвящаю двум вещам этой работы, потому что семья обязывает к этому. И остальную часть это ребятам, детям. Посвящаем тренировкам, ребята занимаются спортом, поэтому уделяем внимание поездкам на какие-то турниры, на какие-то соревнования.","Удовлетворение, усталость, забота, вовлеченность","Семья, забота о детях, развитие, спорт",Семейная жизнь и забота о детях становятся центральными. Вовлеченность в спорт детей и собственное участие в спортивной жизни отражают современные тренды семейного досуга и заботы о здоровье.,эпизод,"Новая компания (не указана), спортивные секции",0.0,True,,
6,Рефлексия и ценности (сквозной мотив),Оценка детства и передача опыта детям,"Респондент с теплотой и гордостью вспоминает свое детство, подчеркивает разницу между своим опытом и современным детством своих детей. Считает важным передавать навыки и ценности, полученные в детстве, своим сыновьям.","Я рассказываю своим сыновьям, что у меня не было телефона. У меня телефон первый появился в 18 лет, по-моему. Я купил его на вторую заработную плату, которую получил сам. Я рассказывал, как мы ходили гулять, что мы зимой делали, какие мы приспособления делали, чтобы катались собственными руками. Интересным было детство.","Гордость, ностальгия, желание передать опыт","Самостоятельность, труд, умение делать руками, семейные традиции","Респондент осознает разрыв поколений и стремится компенсировать недостаток самостоятельности у современных детей, передавая им свой опыт и ценности. Это типичная стратегия родителей, выросших в условиях дефицита и коллективизма.",декларация,Семья,0.0,False,,
1,Переход от руководящей должности к новой работе,Увольнение с работы и переосмысление профессионального пути,"Респондент внезапно уволился с должности директора, не имея чёткого плана на будущее. Решение было эмоциональным, связанным с выгоранием и осознанием несоответствия управленческой работы его склонностям. Он предпочитает техническую деятельность и меньшую ответственность.","Да просто взял, на самом деле взял и ушел. Вот одним днем написал заявление и ушел. Вот честно. Не знаю, может быть какой-то эмоциональный срыв, может быть какой-то пик вот этого всего, что... происходило на тот момент.","эмоциональное истощение, растерянность, облегчение","самоосознание, честность с собой, поиск своего места","Ситуация типична для профессионального выгорания на руководящих позициях, особенно у людей с техническим складом ума, которым некомфортно в административных ролях. Решение уйти без плана указывает на внутренний кризис и поиск аутентичности.",перелом,работа (директор),,выход из формального рынка труда,,
2,Переходный период после увольнения,Поиск новой работы и поддержка семьи,"После увольнения респондент не имел чёткого плана, но был уверен, что сможет зарабатывать. Жена предложила работу в своей компании, и он быстро устроился туда. Параллельно у него есть небольшой автосервис с товарищем.","Вчера уволился, а сегодня уже пошел туда работать, ну, устраиваться. Ну, в принципе, я пока здесь и работаю.","уверенность, спокойствие, благодарность","семейная поддержка, гибкость, самостоятельность",Семейные связи выступают важным ресурсом для адаптации к переменам. Быстрый переход в новую сферу и наличие побочного бизнеса свидетельствуют о высокой адаптивности и предпринимательских чертах.,эпизод,"работа (промоутерская компания жены, автосервис)",,"неформальная занятость, семейный бизнес",,
3,Настоящее время,Текущая работа и отношение к труду,"Респондент работает в сфере мерчендайзинга, занимается расстановкой продукции, продвижением товаров. Для него важна не престижность, а финансовая выгода и гибкий график, позволяющий уделять время семье.","Я мечтаю лежать на диване, чтобы деньги были. Но так не бывает. Я не боюсь работы, честно. Мне вообще все равно, что делать. Главное, чтобы эта работа была прибыльной.","прагматизм, удовлетворённость","финансовая стабильность, свобода, баланс работа-семья","Прагматичный подход к труду характерен для людей, прошедших через профессиональные кризисы. Гибкий график становится ключевым фактором выбора работы для родителей с детьми.",декларация,работа (мерчендайзер),,"наёмная занятость, гибкий график",,
4,Настоящее время,Баланс между работой и семьёй,"Текущая работа позволяет респонденту самостоятельно планировать время, быть с детьми на мероприятиях, видеть их рост, чего не хватало на прежней руководящей должности.","Я могу быть на соревнованиях, на тренировках, на каких-то выездных с детьми. Я вижу, как они растут. Раньше я по своему старшему служил, что я не видел вот этого, как он рос, грубо говоря.","удовлетворение, радость, благодарность","семья, участие в жизни детей, самостоятельность",Смена профессиональных приоритетов в пользу семьи характерна для родителей с несколькими детьми. Гибкость занятости становится инструментом повышения качества жизни.,узел,,0.0,,,
5,Семейная жизнь,Динамика семейных отношений,"Супружеская жизнь проходит через разные этапы: от гармонии в начале до сложностей с появлением детей. Респондент признаёт трудности, усталость супруги, необходимость делить внимание между детьми и друг другом.","Свадьба да там первый год там все замечательно но какие-то моменты в любом случае любой семейной паре они есть... С появлением второго третьего ребенка сложно. И мне иногда сложно. Но больше ей сложно, она устает.","принятие, сочувствие, усталость","семья, взаимопомощь, честность","Рост семьи увеличивает нагрузку на обоих супругов, особенно на жену. Мужчина осознаёт и проговаривает сложность родительства, что свидетельствует о рефлексии и эмпатии.",эпизод,,,,3.0,
