id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,collapse_context,housing_promised,ownership
1,"Взрослая жизнь, настоящее время",Текущая профессиональная деятельность и образ жизни,"Респондентка живёт в Саратове, работает онлайн преподавателем и переводчиком, занимается частичной занятостью, ведёт активный образ жизни, занимается спортом и любит гулять.","Начала онлайн работать на себя без какого-то босса. Получается, я везде парт-тайм работаю. Частичная занятость. В языковом центре, получается, и вот на себя с клиентами.","Удовлетворённость, спокойствие, лёгкая адаптация","Самостоятельность, свобода, независимость, активность, саморазвитие",Респондентка демонстрирует типичный для современных городских жителей паттерн гибкой занятости и стремления к независимости от работодателя. Акцент на саморазвитии и физической активности отражает ценности нового среднего класса.,эпизод,"рынок труда, языковой центр, онлайн-образование","частичная занятость, самозанятость",1.0,,
2,Детство и юность,"Семья, этническая идентичность и раннее развитие","Респондентка родилась в Нижнем Новгороде, росла с родителями и старшей сестрой, не ходила в детский сад из-за конфликтов, с раннего возраста занималась английским и музыкой.","В садик не ходила, потому что там дралась, проблемы были, и меня забрали оттуда. С шести-пяти лет я уже начала английский язык учить, музыку, пение.","Лёгкая ирония, принятие, самостоятельность","Самостоятельность, развитие, творчество, индивидуальность",Опыт ранней социализации вне детского сада и акцент на индивидуальном развитии через языки и музыку формируют самостоятельность и креативность. Этническая идентичность гибко меняется в зависимости от контекста проживания.,эпизод,"семья, школа, этническая община",,1.0,,
3,Школьные годы,"Школьная социализация, дружба и конфликты","Училась в английской гимназии, отношения в классе были напряжённые из-за социального неравенства, основные друзья были во дворе. В 10 лет переезд в другой район, быстро завела новых друзей.","В классе такие не очень были отношения у меня. У меня в основном друзья были во дворе, как я сейчас помню.","Ощущение инаковости, лёгкая грусть, адаптация","Дружба, адаптивность, независимость от мнения коллектива",Опыт социальной изоляции в классе на фоне имущественного неравенства типичен для российских школ. Дворовая социализация компенсирует недостаток поддержки в формальных институтах.,эпизод,"школа, двор",,1.0,,
4,"Переходный возраст, подростковый опыт",Семейные отношения и самостоятельность,"Старшая сестра была на 9 лет старше, отношения были конфликтными, с родителями отношения ровные, с бабушкой — близкие. Дедушка учил ценить деньги, что повлияло на финансовое поведение.","Дедушка меня учил деньги считать. И научил меня как-то цену деньгам знать. Даже если в твоей жизни там появится 5 копеек, все равно радуйся, это любые деньги.","Благодарность, лёгкая дистанция, уважение","Семейные традиции, финансовая грамотность, самостоятельность",Передача финансовых установок и навыков через поколение (дедушка-внучка) — важный элемент семейной социализации. Конфликты с сиблингами и дистанция с родителями типичны для семей с большой разницей в возрасте между детьми.,эпизод,"семья, расширенная семья",,1.0,,
5,"Юность, ранняя взрослость",Образование и профессиональный старт,"Окончила ННГУ им. Лобачевского по специальности международные отношения, учила английский и французский. Работала переводчиком на заводе, затем в колл-центре, потом в Pony Express. Испытала сокращение и смену работы.",После института два года проработала. Два с чем-то в Нижнем Новгороде. Сначала на заводе газ-переводчиком работала... Потом попала под сокращение.,"Деловитость, прагматизм, открытость переменам","Профессионализм, мобильность, образование","Карьера респондентки отражает типичный путь молодых специалистов-гуманитариев: нестабильность занятости, вынужденная мобильность, поиск себя через разные сферы.",эпизод,"вуз, рынок труда, промышленные предприятия",наёмный труд,1.0,,
6,"Миграция, взрослая жизнь за рубежом","Переезд в Израиль, интеграция и профессиональный рост","В 22 года переехала в Израиль по настоянию родителей, быстро адаптировалась, учила язык, вышла замуж, работала сначала в гостиницах, затем в финансовой компании, где прошла путь от колл-центра до аккаунт-менеджера.","Я быстро за 2-3 месяца документы подготовила, визу у меня проставили. Получается. Ничего не боялась, не знаю, как танк.","Смелость, решимость, гордость","Автономия, профессиональный рост, открытость миру",Миграция в молодом возрасте и успешная интеграция в новую страну свидетельствуют о высокой адаптивности и внутренней мотивации. Карьерный рост в иностранной компании — пример успешной профессиональной мобильности мигранта.,перелом,"миграционные службы, ульпан, рынок труда Израиля",,1.0,арендное жильё,
7,"Взрослая жизнь, возвращение в Россию","Возвращение, повторный брак и адаптация","После 13 лет жизни в Израиле вернулась в Россию из-за войны и психологического дискомфорта, вышла замуж второй раз, обосновалась в Саратове, адаптировалась к провинциальной жизни.","Меня не выдержала психика вот этих ракетных обстрелов. Ну, часто. И когда мой дом чуть не взорвали там, где я жила, я поняла, что уже надо или уезжать, или что-то менять страну.","Тревога, усталость, облегчение после перемен","Безопасность, стабильность, семейные отношения",Опыт вынужденной миграции из-за военных действий и повторная адаптация в российской провинции иллюстрируют сложности обратной интеграции и поиска баланса между профессиональными и личными ценностями.,перелом,"семья, рынок труда, местное сообщество",,1.0,"арендное жильё, затем совместное проживание с мужем",
8,Детство,Дружба и досуг,"В детстве имела несколько близких подруг, с которыми поддерживает отношения до сих пор. Любила лагеря, мечтала о море, самостоятельные поездки без родителей.","Одна любила ездить без родителей. Про море не сбылась мечта в детстве. Они так и не свозили меня. Уже когда выросла тогда, попала к морю.","Ностальгия, лёгкая грусть, радость воспоминаний","Дружба, самостоятельность, стремление к новому опыту",Детские мечты и опыт самостоятельных поездок формируют установки на независимость и открытость миру. Долгосрочные дружеские связи свидетельствуют о высокой социальной компетентности.,эпизод,"лагерь, двор, семья",,1.0,,
9,Детство и подростковый возраст,Формирование самостоятельности и трудовой опыт,"С раннего возраста приучалась к самостоятельности, помогала по дому, с 14 лет подрабатывала на выборах, ценила возможность иметь свои деньги.","Я с 14 лет уже подрабатывала. У меня мама на выборы устраивала работать. И мне нравилось, что у меня свои деньги.","Гордость, уверенность, благодарность","Трудолюбие, самостоятельность, финансовая независимость","Ранний трудовой опыт и акцент на самостоятельности характерны для семей, где ценится практическая подготовка к взрослой жизни. Это способствует формированию ответственного отношения к деньгам и работе.",эпизод,"семья, избирательная комиссия","подработка, временная занятость",1.0,,
10,"Школьные годы, подростковый возраст",Травматический опыт и смена школы,"В английской школе подвергалась буллингу и вымогательству, что привело к смене школы после восьмого класса.","У меня было в английской школе, что у меня в классе деньги вымогали. Я была как лохушка их в классе. Со мной никто не общался, очень мало кто. ... И потом я перешла в другой школу после восьмого класса.","Боль, обида, решимость изменить ситуацию","Достоинство, стремление к справедливости, самозащита","Опыт школьного буллинга и последующая смена школы — типичный пример того, как институциональная среда может оказывать травмирующее воздействие и формировать установки на самостоятельную защиту своих границ.",перелом,школа,,1.0,,
