id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation
1,Детство и школьные годы,"Жизнь в небольшом поселке, семейное воспитание и ограничения","Респондентка выросла в небольшом поселке Приморского края в семье с требовательными родителями. Детство запомнилось трудным: много домашних обязанностей, строгий контроль, мало свободы и развлечений. Родители были не богаты, часто ограничивали в желаниях и одежде. Яркие воспоминания связаны с редкими периодами свободы у бабушек.","Детство было, конечно... Все желания не удовлетворялись полностью. Всегда хотелось конфеток, шоколадок. Родители не богатые. Где-то кто-то поделится, но в основном ощущение какой-то ущербности в стольной степени было.","Сдержанная грусть, легкая обида, ностальгия","Самостоятельность, стремление к свободе, ценность личного пространства",Опыт детства в провинциальном поселке с ограниченными ресурсами и строгим воспитанием формирует у респондента стремление к самостоятельности и желание вырваться в более свободную среду. Контраст между жизнью с родителями и у бабушек подчеркивает важность личной автономии для респондента.,эпизод,"семья, школа, бабушки",0.0,1.0,
2,Старшие классы школы,"Первые успехи, олимпиады, формирование амбиций","В старших классах респондентка начинает участвовать в олимпиадах и конференциях, что становится для нее важным этапом самоутверждения. Победы и поездки дают ощущение потенциала и возможность вырваться за пределы поселка, несмотря на скепсис родителей.","Для меня это было очень значимо, что потенциал есть. И зарывать его только в своем поселке тоже смысла никакого нет.","Гордость, воодушевление, уверенность","Саморазвитие, амбиции, стремление к большему","Участие в олимпиадах и конференциях становится для респондента символом выхода за пределы ограниченного социального пространства. Формируется установка на мобильность и самореализацию, несмотря на давление семьи.",узел,"школа, олимпиады, конференции",,1.0,False
3,Поступление и студенчество,"Выбор города и университета, студенческая активность","Респондентка рассматривала разные города для учебы, но в итоге осталась во Владивостоке, хотя этот город не был для нее приоритетным. Студенческие годы стали периодом максимальной активности, самостоятельности и личностного роста. Она участвовала в общественной жизни, училась, пробовала новое, впервые почувствовала вкус свободы.","В студенчестве самый активный был, наверное, период, когда можно было все попробовать, да, вот. В студенческие годы я отлично защитила, обучилась на вождении и еще защитила второй диплом.","Энтузиазм, удовлетворение, свобода","Активность, самостоятельность, проба нового","Студенчество становится для респондента пространством социальной мобильности и самореализации. Важна не только учеба, но и возможность попробовать разные роли и практики, выйти из-под родительского контроля.",эпизод,"университет, общежитие, студенческие организации",,1.0,True
4,"Начало взрослой жизни, аспирантура, первые отношения","Первые серьезные отношения, разрыв, депрессия и смена жизненного курса","После окончания университета респондентка поступила в аспирантуру, занималась наукой, но разрыв с первым гражданским мужем привел к депрессии и отказу от научной карьеры. Смерть научного руководителя усугубила кризис. Она временно ушла на неквалифицированную работу, постепенно восстанавливалась.","Ну, в общем, как старуха с разбитым корытом. Ну, осталось после отношений.","Печаль, разочарование, потерянность","Преодоление трудностей, поиск себя, эмоциональная устойчивость","Личный кризис и разрыв отношений становятся переломным моментом, влияющим на профессиональную траекторию. Женский опыт совмещения личной жизни и карьеры, а также влияние эмоциональных потрясений на профессиональную самореализацию.",перелом,"аспирантура, научное сообщество, семья",,1.0,True
5,Восстановление и профессиональный поиск,"Поиск работы, возвращение к активности, новые профессиональные роли","После кризиса респондентка пробует разные работы — от официантки до администратора, затем возвращается в сферу образования. Сохраняет активность, помогает бывшему боссу, реализует инициативность в новых ролях.","Видимо, вот эта вот инициативность, активность, она все равно в той или иной степени реализуется.","Настойчивость, надежда, уверенность","Трудолюбие, инициативность, адаптивность",Профессиональная гибкость и готовность к смене ролей становятся стратегией выживания и восстановления после личного кризиса. Важна поддержка со стороны профессионального окружения.,эпизод,"школа, малый бизнес, образовательные учреждения",,1.0,True
6,"Настоящее, новые отношения","Личная жизнь, новые отношения, поддержка и самореализация","Респондентка вступила в новые отношения, которые стали более осознанными и поддерживающими. Она отмечает важность выбора партнера, взаимной поддержки и возможности заниматься тем, что ей интересно.","Сейчас я занимаюсь тем, что мне интересно. скажем так, нахожу поддержку у своего нынешнего супруга в своих начинаниях, проектах и его стараюсь тоже поддерживать.","Удовлетворение, спокойствие, благодарность","Взаимная поддержка, осознанность, личная свобода",Переход к новым отношениям сопровождается переосмыслением ценностей и ролей в семье. Важна поддержка партнера и возможность реализовывать себя вне традиционных семейных сценариев.,узел,"гражданский брак, семья",0.0,1.0,
7,Семейная динамика и влияние на сестру,"Взаимоотношения с сестрой, влияние на выбор профессии","Респондентка отмечает, что ее успехи и интерес к биологии повлияли на выбор сестры, которая также пошла на биологический факультет, но в другой университет. Сестра позже уехала в другой город, что иллюстрирует семейную мобильность и влияние старших братьев/сестер.","И сестру, на самом деле, я когда она училась в школе, каким-то образом, хотя непонятно почему, так вовлекла в биологию, что она тоже пошла на биологический факультет.","Гордость, удивление, теплота","Семейные связи, взаимное влияние, образование","Семейные траектории и образовательные выборы часто взаимосвязаны. Старшие дети могут служить ролевыми моделями для младших, что влияет на их образовательные и жизненные стратегии.",эпизод,"семья, университет",,1.0,
1,раннее детство,Семейная жизнь и воспитание,"Респондентка жила в одной квартире с родителями, сестрой и бабушкой. Воспитание было жёстким, с применением физических наказаний и строгих требований к занятиям. Бабушка давала больше свободы и самостоятельности.","Вторая бабушка жила с родителями, то есть мы жили мама, папа, я, сестра и бабушка. Все в одной квартире... она была более такая, ну, короче, свободу мне больше давала, ну, как бы старалась, самостоятельность, что ли, вот так.","ностальгия, некоторая горечь","семья, самостоятельность, свобода, дисциплина","Семейная структура типична для постсоветского пространства 90-х: несколько поколений в одной квартире, сочетание традиционного и авторитарного воспитания с элементами заботы и поддержки.",эпизод,"семья, школа",0.0,,
2,детство,Травматичные события и опыт воспитания,"Рассказ о травматичных событиях: смерть дедушки, наказания, запреты на любимые занятия (танцы), эпизод с насильственной стрижкой. Воспитание воспринимается как жёсткое и травмирующее.","В результате папа так разозлился, что он повел меня в туалет и все, короче, мне срезал волосы, ну, как бы так, комками... То есть больше, ну, такое, травматичное детство, скажем так.","боль, обида, некоторая рефлексия","справедливость, признание, личные границы","Воспитательные практики 90-х часто включали физические наказания и строгий контроль, что оставляет долгосрочные психологические следы. Важна разница в отношении к детям в семье.",узел,семья,0.0,,
3,детство — ранний подростковый возраст,Позитивные семейные моменты и поддержка,"Несмотря на жёсткость воспитания, были моменты семейной поддержки и совместного отдыха, которые воспринимаются как значимые и позитивные.","Да, были, конечно, позитивные моменты, когда мы уезжали вот в отпуск... Поддержка, опора чувствовала.","тепло, благодарность","поддержка, семейная сплочённость, отдых","Совместные поездки и отдых — важный компенсатор семейных напряжений, формируют чувство защищённости и принадлежности.",эпизод,семья,0.0,,
