id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context,health_behaviour,coping_strategies
1,детство и раннее школьное время,отношения с учебой и досугом,"В детстве респондент не проявлял интереса к учебе, предпочитал проводить время вне школы, иногда обманывал взрослых о посещении музыкальной школы, чтобы гулять. Позже увлекся картингом, что стало для него важным занятием.","музыкалку на баян, но туда не ходил, хотя говорил, что ходил, но на самом деле не ходил. А на продленке говорил, что я в музыкалке, в музыкалке говорил, что в продленке, а сам гулял.","ирония, легкая ностальгия","свобода, самостоятельность, интерес к технике",Раннее проявление самостоятельности и склонности к обходу формальных требований; досуговая активность вне формальных институтов.,эпизод,,,,,,
2,"подростковый возраст, средняя школа",увлечения и учеба,"С переходом в новую школу респондент нашел интерес в картинге, что стало для него важнее учебы. В учебе успехов не было, но участие в соревнованиях приносило удовлетворение.","Учиться нет, но картинг был прикольный. места занимаешь, в район поддерживаешь.","удовлетворение, интерес","самореализация, командность, признание",Важность внешкольных увлечений для формирования самооценки и социальной идентичности.,эпизод,,,,,,
3,старшие классы и училище,перелом в отношении к учебе,"После поступления в училище у респондента появился интерес к учебе, он стал почти отличником, особенно по точным наукам и литературе. Испытал чувство удовлетворения от успехов.","В училище меня пробило на учебу. В итоге я, грубо говоря, 10-11 класс закончил почти отличник.","гордость, воодушевление","достижения, компетентность, признание","Переломный момент, связанный с изменением образовательной среды и, возможно, педагогического подхода.",перелом,,,,,,
4,служба в армии,служба и первый брак,"После училища респондент ушел на флот, где служил три года, женился в Балтийске, но брак был недолгим.","Ну вот там я женился первый раз, в Балтийске, на первой жене. Она со мной сюда приехала, но мы что-то недолго прожили.","нейтрально, сдержанно","ответственность, поиск стабильности",Опыт раннего брака и службы как этапы взросления и социальной адаптации.,узел,армия,,,,,
5,"молодость, после армии","поиски себя, смена мест и работ","После армии респондент работал в разных городах (Казань, Москва, Киров), пробовал себя в разных сферах.","А дальше я не помню, где я был. В Казани поработал маленько, в Москве чуть поработал, потом, по-моему, в Кирове был.","растерянность, поиск","поиск нового, мобильность",Типичная для постсоветской молодежи стратегия проб и ошибок в поиске профессионального пути.,эпизод,,,,,,
6,"зрелость, вторая семья",знакомство и создание второй семьи,"Познакомился со второй женой в 2011 году, через год после рождения дочери официально поженились.","год, наверное, где-то. Да, год, потому что в 2012-м родилась дочка, и вот после ее рождения мы только поженились.","спокойствие, удовлетворение","семья, забота о детях","Семейные отношения строятся на совместном опыте и рождении ребенка, а не на формальном браке.",узел,,,,,,
7,"зрелость, профессиональная жизнь","частая смена работы, отношение к труду","Респондент часто меняет работу, не может долго работать на одном месте из-за потери интереса. Сравнивает себя с женой и тещей, которые всю жизнь работают на одном месте.","У меня шило в задницу, я не умею на одном месте долго работать, как люди.","ирония, легкое недовольство собой","разнообразие, самореализация, свобода",Ярко выраженная мобильность и низкая приверженность к одной организации; ценность перемен и новых впечатлений.,декларация,,высокая мобильность,,,,
8,"зрелость, профессиональная жизнь","вахтовая работа, опыт за полярным кругом","Пробовал себя на вахте за полярным кругом, но из-за болезни вернулся. Планирует снова ехать на вахту, теперь на Дальний Восток.","Я успел съездить за полярный круг на вахту. На одну вахту. Это буквально месяц. Хотел дольше, но заболел.","разочарование, но с надеждой","приключения, заработок, мобильность",Вахтовый труд как способ заработка и реализации потребности в переменах.,эпизод,,,,,,
9,"детство, семья",родительская семья и развод родителей,"Родители развелись, когда респондент закончил 4 класс. Переехали к отчиму. Отношения с родственниками сложные, но со временем наладились.","Мама как раз четвертый класс, я закончил, родители развелись, мы переехали к отчиму.","спокойствие, некоторая отстраненность","семья, адаптация",Развод родителей и переезд как фактор формирования самостоятельности и адаптивности.,узел,,,,,,
10,"детство, летние каникулы","лето у бабушки, ранний трудовой опыт","Каждое лето проводил у бабушки, работал в огороде, играл с другими детьми, позже начал работать помощником на комбайне, зарабатывал деньги.","Вот закончилась учеба, тебя отправляют к бабушке на все лето. И ты там в огороде то полоть, то жуков собирать, то за седом ехать, то еще что-нибудь.","ностальгия, радость","трудолюбие, коллективизм, самостоятельность",Сельское детство с ранним приобщением к труду и коллективным досугом.,эпизод,,,,,,
