id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context
1,"Введение, настоящее время",Основные биографические данные,"Респонденту 38 лет, он женат, имеет ребенка, проживает в Орловской области, в поселке Крома. По национальности русский, родной язык — русский.","38. 38. Ну и такие несколько общих вопросов. Какой национальности вы себя относите? Русский. Русский. Какое у вас семейное положение? — женат, ребенок.",нейтрально-деловой,"семья, стабильность, идентичность","Респондент демонстрирует типичную для малых городов России биографию: стабильное проживание в одном регионе, традиционные семейные ценности.",декларация,"семья, место жительства, национальность",,,
2,Детство,Семья и условия жизни в детстве,"Респондент рос в полной семье с младшей сестрой, отношения с родителями и родственниками были обычными, поддерживающими. Детство вспоминает как спокойное и типичное для своего времени.","Ну, с родителями, жил с сестрой, с отцом, с матерью, да как бы как и все.","спокойствие, удовлетворенность","семейная поддержка, нормальность, самостоятельность","Воспоминания о детстве типичны для советского/постсоветского провинциального уклада: акцент на семейной поддержке, отсутствии излишеств, самостоятельности.",эпизод,семья,,,
3,Детство и юность,Досуг и социализация,"Детство прошло на улице, в играх с друзьями, посещал авиамодельный кружок. Вспоминает, что у детей было больше свободного времени, чем у современных.","Все гуляли так, ходили на улице. Не так, как сейчас у детей. Полностью все заняты кружками, школами. Мне кажется, в мое детство как-то все было попроще.","ностальгия, легкая ирония","свобода, простота, самостоятельность","Респондент противопоставляет свое детство современному, подчеркивая большую свободу и меньшую занятость детей в прошлом.",декларация,"кружки, двор",,,
4,Детство,Яркие воспоминания и семейные отношения,"Вспоминает случай, когда ушел на рыбалку с другой компанией, не предупредив родителей, что вызвало тревогу у взрослых. Отношения с родителями были поддерживающими, чувствовал любовь и поддержку.","Ушел на целый день, никому не сказал просто, куда ушел. Ну да, там перенервничали все. Всем двором искали, но ничего. Нашли, ругали сильно.","легкая вина, благодарность","семейная забота, ответственность","Случай иллюстрирует коллективизм и взаимную заботу в малых сообществах, а также важность семейного контроля.",эпизод,"семья, двор",,,
5,Школьные годы,Учеба и отношения в школе,"Учился средне, без особых успехов и провалов. Любил биологию и физику, не нравился русский язык из-за отношений с учителем. Аттестат без троек.","В школе каких-то успехов не было сверх, но и плохо тоже не учился. Все, скажем так, как-то средне.","спокойствие, легкая неудовлетворенность","справедливость, объективность, самостоятельность","Респондент отмечает влияние учителя на отношение к предмету, что типично для российской школы.",декларация,школа,,,
6,Студенчество,Поступление и учеба в университете,"Поступил на экономическую специальность (менеджмент) в Орловский университет, выбор был обусловлен доступностью и отсутствием четких предпочтений. В университете учился хорошо, но не стремился к отличию.","Да потому, что проще всего туда было поступить. Вот и все. Я еще тогда совсем не понимал, что мне нравится, чего я хочу.","рефлексия, легкая ирония","прагматизм, рациональность","Выбор образования по принципу доступности, а не призванию, характерен для многих выпускников российских школ.",декларация,университет,,,
7,Профессиональная жизнь,Карьера и профессиональный путь,"Работал на трех местах, в основном в продажах. Получил дополнительное образование по животноводству, что связано с нынешней работой — продажей кормов. Опыта в FMCG более 10 лет, последние три года работает в сфере кормов, доволен текущей работой.","Вот то, чем я сейчас непосредственно занимаюсь, мне нравится. Я вот в этой сфере уже три года. Мне очень нравится.","удовлетворение, спокойствие","профессионализм, интерес к делу, стабильность",Переход от FMCG к сельскохозяйственной сфере отражает адаптацию к региональному рынку труда.,узел,"рынок труда, компания, завод",True,,
8,Профессиональная жизнь,Специфика работы в продажах,"Работа строится на долгосрочных отношениях, специфика рынка кормов требует знания продукции и особенностей логистики. Работает на завод, а не на дистрибьютора.","Вот этот же бизнес, он строится на долгосрочных отношениях. Правильно ли, ну, здесь не получится каждый день там находить новых партнеров каких-то, да, здесь немножечко все-таки другое специфика такова...","уверенность, профессионализм","доверие, компетентность, долгосрочные отношения","Рынок кормов в регионе ограничен, требует специфических навыков и знаний, что формирует профессиональную идентичность.",декларация,"завод, рынок кормов",,,
9,"Личная жизнь, юность и зрелость",Личные отношения и семья,"Был опыт совместной жизни с девушкой в университете, который считает важным, но рад, что отношения завершились. В браке — доверительные отношения, ребенок был желанным и осознанным.","Я просто понял, хорошо, что я с этим человеком не остался, что мы абсолютно разные люди. И жить невозможно.","благодарность, облегчение","осознанность, самостоятельность, семейные ценности","Респондент осмысленно относится к личному опыту, ценит осознанный подход к созданию семьи.",перелом,"семья, брак",,,
10,"Зрелость, родительство",Рождение и воспитание ребенка,"Рождение ребенка было осознанным решением, к которому оба супруга были готовы. Воспитывают сына в духе самостоятельности, поддерживают его интересы (занятия с лошадьми).","Понимаете, то есть мы с женой как бы ждали этого ребенка, мы хотели именно. Понимаете, то есть осознанно подошли, то есть ни рано, ни поздно.","уверенность, спокойствие","осознанность, забота, самостоятельность","Современная модель родительства: осознанное планирование, поддержка интересов ребенка, ориентация на самостоятельность.",узел,"семья, спортивная школа",,,
11,Зрелость,Социальные связи и границы общения,"Старается не зависеть от других, избегает общения с неинтересными или негативно влияющими людьми. Ценит независимость и ограниченный круг общения.","Я стараюсь ни от кого не зависеть. Чтобы люди влияли, никому за помощью стараться не бежать.","уверенность, самостоятельность","независимость, самодостаточность","Индивидуалистская стратегия в построении социальных связей, характерная для зрелого возраста.",декларация,,,,
12,Студенчество,Опыт проживания вне дома,"Переезд в Орел и проживание в общежитии не были стрессом, а скорее позитивным опытом. Легко адаптировался к новым условиям.","Вообще не стресс, вообще не стресс. Было классно, как бы весело.","позитив, легкость","адаптивность, открытость новому",Позитивное отношение к самостоятельной жизни вне семьи свидетельствует о готовности к взрослой жизни.,эпизод,"общежитие, университет",,,
13,"Зрелость, профессиональная жизнь",Сложные решения и моральные дилеммы на работе,"Иногда приходится принимать решения, которые не всегда соответствуют личным убеждениям, но это часть работы. Считает, что психологическая устойчивость необходима для профессии.","У нас такая работа, что если ты психологически неустойчив, надо ее срочно покидать.","прагматизм, спокойствие","профессионализм, устойчивость, лояльность компании","Работа в продажах требует моральной гибкости и психологической устойчивости, что респондент осознает и принимает.",декларация,компания,,,
1,"Зрелая семейная жизнь, будни",Распорядок дня и досуг,"Респондент описывает свой типичный будний день: после работы ужин, домашние дела, короткая прогулка, немного свободного времени, просмотр телевизора или проверка уроков. Свободного времени мало, особенно в сезон на работе.","Мало, очень мало времени. Это же будние дни. В течение работы времени нет свободного.","усталость, смирение","ответственность, семейные обязанности, рутина","Респондент живет в ритме типичного российского среднего класса: работа занимает большую часть времени, досуг ограничен, ценится семейное общение и простые радости.",эпизод,,,,
2,Зрелая семейная жизнь,Распределение домашних обязанностей,"Домашние обязанности в семье распределены гибко: жена занимается готовкой и уборкой, респондент помогает по мере необходимости, особенно в праздники. Нет строгого деления, обязанности выполняются по ситуации.","Нет никаких определенных там каких-то разделений, кто что делает, кто-то там, могу я там мусор вынести, может, жена, там, да.","спокойствие, принятие","партнерство, взаимопомощь, гибкость","Семья придерживается модели совместного ведения быта без жестких гендерных ролей, что характерно для современных городских семей.",декларация,,,,
3,Профессиональная зрелость,Рабочий график и условия труда,"Рабочий день с 8:30 до 17:30, перерыв часто отсутствует в сезон. Руководство находится в другом городе, контроль минимальный, но объем работы большой. Официальное трудоустройство, белая зарплата, служебный автомобиль.","Работу никто не отменял, ее объем, текучка, все эти дела накапливаются, и это все равно потом делать придется.","усталость, прагматизм","ответственность, стабильность, самостоятельность","Респондент работает в крупной структуре (холдинг), ценит официальное оформление, но отмечает высокую нагрузку и отсутствие баланса между работой и личной жизнью.",декларация,"холдинг, завод",,,
4,Профессиональная зрелость,Взаимоотношения в коллективе,"Коллектив на работе нездоровый, между отделами постоянные конфликты, особенно между отделом продаж и производством. Атмосфера напряженная, много корпоративной переписки.","У нас очень нездоровый коллектив, учитывая, что это холдинг. Завод сам по себе. Там отдел продаж сам по себе.","раздражение, ирония","профессионализм, дистанция, прагматизм","В крупных организациях часто наблюдается разобщенность между отделами, что приводит к внутренним конфликтам и снижению удовлетворенности работой.",декларация,"холдинг, завод",,,
5,Профессиональная зрелость,Мотивация к работе,"Работа воспринимается исключительно как способ заработка, не как хобби. Возможность сменить работу рассматривается только ради большей зарплаты, но рынок труда не дает перспектив.","Это вообще не хобби. Конечно, ради денег.","прагматизм, некоторая неудовлетворенность","материальная стабильность, рациональность","Для респондента работа — инструмент обеспечения семьи, а не самореализации. Это типично для зрелых работников с семейными обязательствами.",декларация,,,,
6,Зрелая семейная жизнь,Досуг и хобби,"В свободное время респондент занимается огородом, выращивает виноград, делает вино. Это воспринимается как отдых, хотя и требует усилий. Кино и городские развлечения — редкость.","Вино делаем, в зонтах едим. Там и с косточками, и без косточек растет.","удовлетворение, спокойствие","трудолюбие, связь с природой, семейные традиции","Занятия на участке и домашние заготовки — часть уклада жизни, поддерживающая связь с природой и семейные традиции.",эпизод,,,,
7,Зрелая семейная жизнь,Экологические привычки,"Семья не мусорит, учит ребенка не бросать пакеты, но не участвует в субботниках и не сортирует мусор — инфраструктуры для этого нет. Скептически относится к раздельному сбору мусора и экологическим инновациям.",Никакого раздельного сбора мусора у нас нет.,"скепсис, реализм","ответственность, рациональность","Экологические практики ограничены бытовым уровнем, что типично для российских малых городов и поселков с низкой инфраструктурой.",декларация,,,,
8,Зрелая семейная жизнь,Праздники и традиции,"В семье отмечают государственные и личные праздники: 23 февраля, 8 марта, день рождения, Пасха, день города. Праздники — повод встретиться с друзьями, пожарить мясо, поесть вкусно.","Это же повод встретиться с друзьями, мясца пожарить, вкусно поесть.","радость, теплота","общение, традиции, гостеприимство",Праздники выполняют функцию поддержания социальных связей и семейных традиций.,эпизод,,,,
9,Зрелая семейная жизнь,Отпуск и отдых,"Отпуск чаще всего проводится в России, последний раз — в Сочи. Отдых сопряжен с работой: респондент берет ноутбук, переживает за клиентов. Идеальный отпуск — без рабочих устройств, на машине, с семьей.","Вообще он был бы, наверное, только с личным телефоном, с одним, без всяких ноутбуков.","усталость, мечтательность","семья, независимость, отдых","Даже в отпуске респондент не может полностью отключиться от работы, что отражает высокую вовлеченность и ответственность.",эпизод,,,,
10,Зрелая семейная жизнь,Удовлетворенность жизнью и усталость,"Респондент в целом доволен распорядком дня, считает его типичным для работающего человека. Иногда чувствует усталость и перегрузку, но отдыхает на выходных.","Да нормальный распорядок дня. Все так, наверное, работают.","спокойствие, легкая усталость","адаптация, трудолюбие","Респондент демонстрирует адаптацию к жизненным обстоятельствам, не выражает явного недовольства, воспринимает усталость как норму.",декларация,,,,
11,Зрелая семейная жизнь,Социальные связи и близкие люди,"Близкие люди — это семья и друзья, в основном из профессиональной среды. Общение поддерживается по телефону, иногда встречаются в бане. С родственниками стараются видеться на выходных.","Это близкие люди, это друзья, это общие интересы.","теплота, удовлетворение","дружба, семейственность, профессиональные связи","Круг общения респондента ограничен профессиональной и семейной средой, что типично для зрелых людей с устоявшимся образом жизни.",декларация,,,,
12,Зрелая семейная жизнь,Семейные отношения и конфликты,"В семье нет серьезных конфликтов, стараются не ругаться по мелочам, не вовлекают детей в ссоры. Конфликты среди знакомых осуждаются.","Не было у нас никогда серьезных конфликтов. Да, и так-то, в принципе, стараемся не ругаться по мелочам.","спокойствие, гордость","гармония, уважение, забота о детях",Семья респондента демонстрирует высокий уровень эмоциональной зрелости и ориентацию на гармоничные отношения.,декларация,,,,
13,Зрелая семейная жизнь,Семейные традиции,"Семейные традиции связаны с праздниками, особенно с Пасхой: покупают и получают куличи от родственников. Особых уникальных традиций нет.","У нас такая традиция, что мы покупаем куличи один, а потом нам еще кучу куличей надаривают родственники.","ирония, теплота","семейственность, традиции","Традиции в семье поддерживаются через праздники и совместные действия, что укрепляет семейные связи.",эпизод,,,,
14,"Молодость, студенчество",Знакомство с супругой,"Респондент познакомился с супругой в университете, вместе уже около 15 лет.",Университете.,нейтрально-положительное,"партнерство, стабильность","Долгосрочные отношения, начавшиеся в студенчестве, характерны для традиционной модели семьи.",узел,университет,,,
1,"Семейная жизнь, зрелость",Взаимоотношения в браке и семейные ценности,"Респондент считает, что для гармонии в браке важны общие интересы и ценности, а не противоположности. В семье решения о крупных расходах принимаются совместно, бюджет общий.",У людей должно быть много общего. Общие какие-то ценности должны быть. В противном случае это мнения разные. Они будут все время провоцировать скандалы.,"уверенность, спокойствие","единство, взаимопонимание, партнерство","Респондент придерживается традиционных взглядов на брак, подчеркивает важность общности и совместного принятия решений, что характерно для семей с горизонтальной структурой власти.",декларация,семья,,,
2,"Родительство, зрелость",Воспитание ребенка и родительская роль,"Респондент не стремится к тому, чтобы ребенок был отличником, считает важным выполнение требований учителей и постепенное наделение ребенка ответственностью. Воспитание строится на личном примере и умеренных наказаниях.","Мы не хотим, чтобы он был каким-то отличником... Он должен выполнять все требования, которые дают учителя.","спокойствие, реализм","ответственность, самостоятельность, умеренность","Респондент демонстрирует современный подход к воспитанию, избегая чрезмерного давления на ребенка и подчеркивая важность личного примера.",декларация,семья,,,
3,"Зрелость, социальные связи",Дружба и поддержка,"Друзья помогают друг другу в трудных ситуациях, отношения строятся на взаимовыручке. Конфликты случаются, но разрешаются с помощью третьих лиц, после чего отношения становятся крепче.","Ну, друзья, ну, выручают, да, там, с чем-то, с какой-то помощью... Ну, постоянку вообще друг друга выручаем.","дружелюбие, благодарность","взаимопомощь, лояльность, прощение","Дружеские отношения респондента устойчивы, конфликты не разрушают связи, а укрепляют их, что свидетельствует о зрелости социальных навыков.",эпизод,,False,,
4,"Зрелость, социальные связи",Близость и доверие,"Самым близким человеком респондент считает жену. В случае трудностей обращается к разным людям в зависимости от ситуации. Готов оказывать моральную поддержку всем, кто обратится.","Ну, конечно, живет со мной вместе.","теплота, уверенность","доверие, открытость, поддержка","Респондент демонстрирует высокий уровень доверия к супруге и готовность к широкой социальной поддержке, что говорит о крепких семейных и дружеских связях.",декларация,,,,
