id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,region,housing_type,siblings,neighborhood,market_participation,housing_change,housing_promised,health_status,housing,collapse_context,insurance_status,housing_status,pets,digital_adaptation,insurance
1,"Настоящее время, пенсионный возраст",Самопрезентация и текущий статус,"Респондентка представляется, сообщает о своем возрасте (62 года), национальности (татарка), семейном положении (замужем, двое взрослых детей, двое внуков), месте проживания (Альметьевск, Татарстан), образовании (среднетехническое), статусе (на пенсии).","Так, мне полно 62 года... Семейное положение замужем. Двое взрослых детей... Два внука.","спокойствие, удовлетворенность","семья, стабильность, принадлежность к родному городу и культуре","Респондентка демонстрирует типичную для старшего поколения идентичность: гордость за семью, стабильность, связь с местом проживания и этнической принадлежностью. Пенсионный статус подчеркивает завершенность трудовой биографии и переход к роли хранителя семейных традиций.",декларация,"пенсионная система, семья, этническая общность","Татарстан, Альметьевск",,,,,,,,,,,,,,
2,Детство,"Двор, семья и самостоятельность","Воспоминания о детстве: жизнь в большом дворе с множеством детей, самостоятельность с ранних лет, родители работали, дети сами шли в школу. В семье три сестры, респондентка — младшая. Взаимоотношения с сестрами и соседскими детьми, коллективные игры, чувство защищенности и общности.","Мы как-то в школу уже в первый класс, нас не родители повели, а мы пошли сами... Мы с детства были самостоятельными.","теплота, ностальгия","самостоятельность, коллективизм, семейная поддержка, дружба","Детство респондентки прошло в условиях советского двора, где коллективное воспитание и самостоятельность детей были нормой. Большие семьи, плотная социальная сеть соседей, минимальный родительский контроль — типичная черта городской среды 1960–1970-х годов.",эпизод,,,квартира в четырехэтажном доме,3.0,"большой двор, 16 подъездов",,,,,,,,,,,
3,Детство и отрочество,"Праздники, семейные традиции и летний отдых","Яркие воспоминания о семейных праздниках (день зарплаты папы — походы в магазин), летних поездках в деревню к бабушке и в пионерские лагеря. Описывает насыщенную детскую жизнь, коллективные игры, лагерные традиции, заботу о здоровье детей.","Мы всегда любили день зарплаты папы... Летом мы ездили либо в лагеря пионерские, либо мы ехали в деревню к бабушке.","радость, благодарность","семейные традиции, забота, радость детства, коллективизм","Праздники, поездки в деревню и лагеря — важные элементы социализации советских детей. Бесплатные путевки от работы родителей, коллективные лагерные практики, внимание к здоровью — черты советской системы заботы о детях.",эпизод,"пионерский лагерь, семья, трудовое предприятие родителей",,,,,покупки в магазине в день зарплаты,,,,,,,,,,
4,Юность и ранняя зрелость,Образование и начало трудовой деятельности,"Учеба в школе №5, затем в училище для подготовки специалистов для завода радиоприборов. Начало работы на заводе в отделе технического контроля. Заочное обучение в Московском экономическом техникуме.",Училась я в этой школе 10 лет... Затем после окончания школы у нас было училище... Я работала в отделе технического контроля. Там же я поступила заочно в Московский экономический техникум.,"деловитость, удовлетворение","образование, трудолюбие, профессионализм","Типичная траектория для советской молодежи: после школы — профессиональное училище, работа на предприятии, заочное образование. Система распределения и подготовки кадров для промышленных предприятий.",узел,"школа, училище, завод, заочное образование",,,,,трудовая деятельность,,,,,,,,,,
5,"Зрелость, 1990-е годы","Кризис, материнство и семейные испытания","В 1990-е годы наступают тяжелые времена: задержки зарплаты, рождение сына с пороком сердца, необходимость ухода за ребенком, операция в Казани. Уход с завода, работа вахтером в районном доме культуры для возможности совмещать уход за сыном и работой. Рождение дочери, переезд в собственный дом. Одновременно — забота о пожилых родителях мужа.","Уже начались проблемы с зарплатой... Сын у меня родился... у сына обнаружили порок сердца, поэтому мне пришлось уволиться с работы и заниматься здоровьем сына.","тревога, напряжение, благодарность","семья, забота, жертвенность, поддержка","Переходный период 1990-х годов: экономическая нестабильность, кризис семейных стратегий выживания, опора на семью и государственную медицину. Женщина берет на себя основную заботу о детях и пожилых родственниках, меняет профессиональную траекторию ради семьи.",перелом,"завод, дом культуры, государственная медицина",,,,,"смена работы, уход с завода",переезд в собственный дом,,,,,,,,,
6,"Вся жизнь, ретроспектива","Семейные и дворовые отношения, социализация","В семье три сестры, респондентка — младшая. В дворе много детей, у соседей тоже большие семьи. Взаимоотношения с сестрами и другими детьми, коллективные игры, субординация по возрасту. Воспоминания о дворовых 'войнах', но при этом — дружелюбие и поддержка.",У нас в семье мы были три девочки... У всех было по четверо. Там много детей было. В семьях было много детей.,"ностальгия, теплота","семья, коллективизм, поддержка, дружба","Большие семьи и плотные дворовые сообщества — характерная черта советской городской среды. Социализация происходила через коллективные игры, иерархию по возрасту, взаимную поддержку.",эпизод,,,,3.0,"много детей, большие семьи",,,,,,,,,,,
1,"детство, начальная школа",первые школьные годы и влияние семьи,"Респондентка вспоминает начальную школу, где её учительница жила по соседству. Семья и учительница строго следили за успеваемостью, что мотивировало хорошо учиться. В детстве не посещала детский сад, воспитанием занимались бабушка и сестры, поэтому адаптация к школе далась нелегко.","Мне всегда говорили, вот сейчас зайду к Анне Григорьевне и скажу, что ты уроки не сделала. Поэтому мне приходилось стараться.","ностальгия, лёгкая тревога, благодарность","ответственность, уважение к учителю, семейная поддержка, трудолюбие","Семья и школа выступали единым воспитательным институтом, где контроль и поддержка шли рука об руку. Отсутствие дошкольной подготовки компенсировалось семейным вниманием.",эпизод,"школа, семья",,,,,,,,,,,,,,,
2,"школьные годы, подростковый возраст",школьная дисциплина и коллективизм,"В школе царила строгая дисциплина, коллективная ответственность, важность принадлежности к пионерской и комсомольской организации. Учителя пользовались большим уважением, занимались с отстающими индивидуально.","Учитель был Бог для нас, для наших родителей. Учителя уделяли очень большое внимание учебе.","уважение, гордость, признательность","дисциплина, коллективизм, уважение к авторитетам, стремление к знаниям","Школа советского типа формировала коллективную идентичность, где успехи и неудачи были делом всего класса. Учитель — центральная фигура, а индивидуальные трудности решались внутри школьного сообщества.",узел,"школа, пионерская и комсомольская организации",,,,,,,,,,,,,,,
3,"старшие классы, выбор профессии",профессиональное самоопределение и неудачи при поступлении,"Респондентка мечтала стать филологом, как многие родственники по материнской линии, но не прошла по конкурсу. После неудачных попыток поступления пошла учиться в училище, затем снова пыталась поступить, но неудачно. В итоге начала работать на заводе.","Я хотела, конечно, стать филологом... Я и поступала, но к великому сожалению я не прошла по конкурсу.","разочарование, смирение, настойчивость","образование, семейные традиции, упорство","Профессиональный выбор был ограничен социальными и образовательными барьерами. Семейные традиции оказывали влияние, но экономическая необходимость и неудачи корректировали траекторию.",перелом,"училище, завод",,,,,,,,,,,,,,,
4,"молодость, начало трудовой деятельности",работа на заводе и профессиональное развитие,"Работала на радиоламповом заводе сначала монтажницей, затем в отделе технического контроля (ОТК) почти 19 лет. Работа была ответственной, требовала технической грамотности и умения взаимодействовать с коллективом.","Работа была, в принципе, она была не сложной, но она была ответственной... изделие готовят 30 человек, а принимаешь ты одна.","гордость, удовлетворение, ответственность","ответственность, профессионализм, коллективизм","Заводская работа в советское время обеспечивала стабильность, формировала профессиональную идентичность и чувство принадлежности к коллективу.",эпизод,"завод, ОТК",,,,,,,,,,,,,,,
5,"зрелость, профессиональная рефлексия",соответствие ожиданий и реальности профессии,"Работа на заводе принесла удовлетворение, несмотря на то, что мечта стать учителем не сбылась. Ощущение реализованности связано с коллективом, ответственностью и профессиональным ростом.","Мои желания, оправдания оправдались. Оправдались. Но то, что я хотела стать учителем... я получала какое-то удовольствие.","удовлетворение, лёгкая грусть, благодарность","реализация, профессиональная гордость, адаптация","Профессиональная идентичность складывалась не только из мечт, но и из реальных возможностей и коллективного опыта. Работа компенсировала несбывшиеся ожидания.",декларация,завод,,,,,,,,,,,,,,,
6,"предпенсионный возраст, смена деятельности",смена профессии и поиск нового смысла,"После ухода с завода работала вахтёром в районном доме культуры, где снова нашла радость в коллективе и атмосфере праздника.","Опять-таки я пришла туда, где весело. где жизнь весёлая. где мероприятия, концерты, спектакли.","оптимизм, радость, лёгкая ностальгия","общение, радость жизни, адаптация",Смена профессии на менее престижную компенсировалась социальной активностью и поиском эмоционального комфорта.,эпизод,дом культуры,,,,,,,,,,,,,,,
7,"зрелость, семейная жизнь",материнство как цель и смысл жизни,"Рождение первого ребёнка стало долгожданной целью после 6 лет ожидания и лечения бесплодия. Материнство стало смыслом жизни, изменило приоритеты и образ жизни.","Дети – это цель, это смысл жизни. Смысл жизни.","радость, благодарность, тревога","семья, материнство, ответственность","Материнство воспринимается как социальная и личная норма, достижение которой требует усилий и приносит глубокое удовлетворение.",перелом,,,,,,,,True,,,,,,,,
8,"зрелость, родительство",изменение образа жизни после рождения детей,"Появление детей сделало семью полноценной, изменило привычки, повысило ответственность. Появилось стремление к улучшению жилищных условий и заботе о детях.","Уже, естественно, захотелось, чтобы жилье было уже свое, чтобы уже у ребенка была своя кроватка, свой угол был.","забота, ответственность, удовлетворение","семейное благополучие, забота о детях, стабильность",Рождение детей становится стимулом к улучшению жилищных условий и изменению жизненных приоритетов.,узел,,,,,,,,True,,,,,,,,
9,"зрелость, родительство","испытания и стресс, связанные с болезнью ребёнка","Сыну диагностировали порок сердца, потребовалась операция. Этот период стал самым тяжёлым в жизни, сопровождался стрессом, страхом и необходимостью принимать сложные решения.","Это уже начались проблемы, это уже серьёзные проблемы начались... Уже, естественно, жизнь стала сложнее.","тревога, страх, стресс, благодарность за поддержку","семья, поддержка, стойкость","Заболевание ребёнка становится экстремальной ситуацией, проверяющей прочность семейных связей и личностную устойчивость.",перелом,медицина,,,,,,,,,,,,,,,
