id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation,religion,region,psychological_support,family_structure,social_guarantees,psychological_coping,career_mobility
1,Детство (0-6 лет),Семейное окружение и ранние воспоминания,"Респондентка родилась в Таганроге, жила в большом доме с родителями и бабушкой. Детство прошло в атмосфере семейных традиций, совместных чаепитий, помощи по дому и огороду, игр с друзьями. В семье одна, но были двоюродные братья и племянники. Воспоминания о детстве теплые, наполнены ритуалами и трудом.","Мы жили в большом доме. Бабушка, мама и папа. Я в семье одна... Очень любили мы сидеть, у нас веранда такая, и чай пить, самовар.","Тепло, ностальгия, благодарность","Семья, традиции, труд, помощь, общение","Типичная для советского и постсоветского юга России семейная структура с несколькими поколениями под одной крышей, акцент на семейных ритуалах и коллективной деятельности. Формирование ценности труда и семейной сплоченности.",эпизод,"семья, дом, детский сад",0.0,1.0,,,,,,,,
2,Дошкольный и младший школьный возраст (6-10 лет),"Одиночество, социализация и первые трудности","Респондентка была единственным ребенком в семье, испытывала желание иметь братьев или сестер. Вспоминает о самостоятельности, необходимости помогать родителям, а также о первых трудностях в школе, связанных с несправедливостью со стороны учителей.","Мне все время хотелось... братьев, сестричек. Ну, как бы у родителей не получалось. Поэтому я была одна.","Легкая грусть, неудовлетворенность, стремление к общению","Справедливость, общение, самостоятельность","Опыт единственного ребенка формирует самостоятельность, но также и потребность в близких отношениях. Воспоминания о школьной несправедливости типичны для советской школы, где авторитет учителя был абсолютен.",эпизод,школа,,1.0,,,,,,,,
3,Школьные годы (10-17 лет),"Учеба, творчество и спорт","В школе респондентка сталкивалась с трудностями и несправедливостью, но также активно участвовала в творческих и спортивных кружках: танцевала в ансамбле, занималась легкой атлетикой. Семья имела средний доход, родители работали на железной дороге.","Я занималась спортом и у нас были и танцы, у нас был хореографический ансамбль 'Солнышки', вот и я там до 9 класса танцевала...","Активность, интерес, некоторая обида","Творчество, активность, трудолюбие, справедливость",Вовлеченность в кружки и спорт характерна для советской и постсоветской школы. Семейная династия железнодорожников отражает устойчивость профессиональных традиций.,эпизод,"школа, кружки, семья",,1.0,False,,,,,,,
4,Поступление и учеба в колледже и институте (17-22 года),Поиск профессионального пути и взросление,"После школы поступила в колледж на бухгалтера по совету матери, но поняла, что это не её. Случайно перешла в институт путей сообщения, где получила специальность, с которой связала дальнейшую жизнь. Жила в общежитии, участвовала в студенческой жизни, занималась спортом и пением.","Я не думала, кем я буду, что это будет мое призвание. Просто на тот момент родители сказали, что надо высшее образование.","Неуверенность, благодарность, принятие","Образование, самостоятельность, ответственность",Выбор профессии по совету родителей и отсутствие профориентации типичны для 1990-х. Жизнь в общежитии способствует формированию самостоятельности и социальных навыков.,узел,"колледж, институт, общежитие",,1.0,False,,,,,,,
5,"Молодость, окончание вуза и начало карьеры (22-25 лет)","Первые отношения, утрата и начало трудовой деятельности","В институте пережила первую любовь и трагическую утрату молодого человека. Позже познакомилась с будущим мужем. Начала работать по специальности в железнодорожной сфере, прошла путь от ученика до специалиста.","В институте на третьем курсе у меня был молодой человек, который ухаживал. Но, к сожалению, он погиб. Это моя первая любовь...","Грусть, благодарность, принятие","Любовь, преданность, профессионализм",Опыт утраты в молодом возрасте влияет на эмоциональную зрелость. Начало карьеры с низовой позиции типично для государственных структур.,перелом,"институт, ОРЖД",,1.0,True,,,,,,,
6,Создание семьи и профессиональное становление (25-35 лет),"Брак, работа и рождение первого ребенка","Вышла замуж в 1999 году, начала работать в Ростове по специальности. Рождение долгожданной дочери в 2005 году. Жизнь сосредоточена на работе, семье, встречах с друзьями. Испытывала трудности с зачатием, стремилась к стабильности перед рождением ребенка.","Сначала, как бы, я хотела, ну, как бы, на ноги встать, ну, думаю, институт, да, то есть, ну, что-то, вот, хотелось стабильности.","Радость, удовлетворение, некоторая тревога","Семья, стабильность, трудолюбие",Стремление к материальной и профессиональной стабильности перед рождением детей характерно для поколения 1990-х–2000-х. Ожидание и планирование детей становится осознанным выбором.,узел,"семья, работа, роддом",1.0,1.0,,,,,,,,
7,"Зрелость, расширение семьи и жилищные перемены (35-40 лет)","Потери, забота о родителях и улучшение жилищных условий","Смерть бабушки и отца стали тяжелыми потрясениями. Мать осталась одна в Таганроге, респондентка поддерживает её. Планируя второго ребенка, семья решила расширить жилищные условия, взяли ипотеку и переехали в трехкомнатную квартиру в Ростове.","Когда мы уже планировали второго ребенка, мы реально понимали, что нам жилищное условие как-то менять. И тогда на этом этапе мы подумали про ипотеку.","Грусть, ответственность, решимость","Семья, забота, стабильность, поддержка",Потери близких и забота о пожилых родителях — важный этап зрелости. Решение жилищного вопроса через ипотеку отражает типичную стратегию среднего класса в России 2000-х.,узел,"семья, ипотека, рынок недвижимости",1.0,1.0,True,,,,,,,
1,"Взрослая жизнь, создание семьи",Покупка жилья и переезд,"В 2018 году семья взяла ипотеку, долго выбирали район и жилье, переезд совпал с рождением ребенка. С тех пор живут в новой квартире.","В восемнадцатом мы заключили договор и как бы выбирали долго. Мы выбирали район. Ну, как бы, ну, много было критериев для подбора жилья.","Взволнованность, удовлетворение","Семья, стабильность, безопасность, забота о детях",Покупка жилья через ипотеку — типичная стратегия обеспечения семейной стабильности для среднего класса. Решение о выборе района связано с заботой о детях и инфраструктуре.,узел,,1.0,,ипотека,,,,,,,
2,"Взрослая жизнь, семейный досуг",Отдых и семейные компромиссы,"Семья любит активный отдых, ищет компромиссы между горами и морем. Для респондентки важны прогулки и познавательные поездки.","Я к ним спокойна, но как бы он меня не заразил, я больше к морю. Поэтому мы ищем всегда компромиссы...","Спокойствие, стремление к гармонии","Семейное единство, открытость новому, компромисс",Отдых становится пространством для семейных переговоров и поиска баланса между индивидуальными предпочтениями.,эпизод,,,,,,,,,,,
3,Профессиональная жизнь,Работа и реструктуризация,"На работе происходили постоянные изменения: переводы, смена статуса, что воспринималось как тяжелый период.","Нас все время куда-то переводили, кому-то передавали. Это тоже своего рода меняли и место, где мы работали, и статус. Все менялось полностью, кардинально, все было тяжело.","Стресс, усталость","Стабильность, адаптация","Реструктуризация крупных предприятий — частое явление в постсоветской экономике, что влияет на ощущение стабильности у работников.",эпизод,"Организация, ранее под МПС (железнодорожная сфера)",,,,,,,,,,
