cluster,name,size,quote,summary,description,factors
«технооптимисты» (N=664),Активные энтузиасты,97,"«ИИ – это будущее! Я готов пробовать все новое, лишь бы оно работало круто».",Восприимчивы к инновациям. Амбассадоры ИИ.,"Активное использование ИИ сочетается с высокой тревожностью и чувствительностью к ошибкам, что является следствием страха упустить возможности (FOMO) или давление профессиональной среды. Такое состояние может вести к выгоранию без поддержки.","самые высокие показатели роста (F3) и осведомленности (F9), минимальное сопротивление (F5)."
«технооптимисты» (N=664),Цифровые технократы,40,"«ИИ может взять на себя сложные задачи, главное – чтобы он был точным. Мне не нужны его “чувства”».",Верят в технологию как таковую.,"Активное использование ИИ сочетается с тревожностью и чувствительностью к ошибкам, что является следствием страха упустить возможности (FOMO). При этом доверие к ИИ строится на основе его функциональности.","максимальное доверие сложным задачам (F2) и позитив к будущему (F4), но низкий антропоморфизм (F1) и сопротивление (F5)."
«технооптимисты» (N=664),Цифровые эмпаты,54,"«Мне нравится, когда ИИ как будто понимает меня, но в серьезных делах лучше перепроверить».",,"Ценят «человечность» ИИ-продуктов, имеют запрос на партнерский тип взаимодействия.","ценят «человечность» ИИ (высокий F1), комфортно взаимодействуют (высокий F7), но осторожны в сложных задачах (низкий F2)."
«технооптимисты» (N=664),Рациональные пользователи,228,"«ИИ – полезный инструмент. Помогает в работе, экономит время, главное, чтобы не глючил».",,"Относятся к ИИ как к инструменту, позволяющему оптимизировать решение текущих задач и сэкономить время.","близки к среднему профилю родительского кластера; сбалансированное позитивно-прагматичное отношение, умеренно высокие F3, F4, F7, F9."
«технооптимисты» (N=664),Продвинутые скептики,53,"«ИИ полезен, но проблем с ним хватает. Не надо его переоценивать, это просто инструмент».",,"ИИ для них – необходимый ресурс, но и потенциальная угроза, что отражает когнитивный диссонанс между внешней мотивацией и внутренней неуверенностью.","активно используют ИИ (высокий F9), но видят много проблем (высокий F6), не склонны к эмпатии (низкий F1) или обучению (низкий F3)."
«технооптимисты» (N=664),Прагматики с низким комфортом,136,"«ИИ нужен для дела, но я не особо в восторге от общения с ним. Работает – и хорошо».",,"Это живое воплощение системного напряжения между необходимостью использовать ИИ и отсутствием доверия/понимания/контроля. Их тревога – часто рациональная реакция на «черный ящик», этические дилеммы, реальные риски, усиленная внешним давлением. Характерно активное освоение без эмоционального вовлечения.","прагматики с низким комфортом (прагматичные технооптимисты) демонстрируют высокую установку на рост (F3) и активное использование ИИ (F9), но с низким личным комфортом (F7) и меньшей чувствительностью к ошибкам (F8)."
«технооптимисты» (N=664),Настороженные прагматики,56,"«ИИ полезен, но, если он косячит, я сразу теряю к нему доверие. Надо быть начеку».",Требуют прозрачности технологии.,"Серьезные сбои при выполнении сложных задач резко снижают доверие к ИИ, но они продолжают его использовать в менее ответственных сценариях (например, чат-боты, поиск). Это противоречит ожиданию полного отказа от технологии после ошибок.","наиболее чувствительны к негативу/ошибкам (высокий F8), им некомфортно использовать ИИ (низкий F7)."
«отстраненные» (N=291),Отстраненные с потенциалом к росту,82,"«Я мало знаю про ИИ, но, если покажут, как он может помочь, я готов попробовать».",,Низкая вовлеченность наравне с готовностью узнавать новое об ИИ. Есть потенциал для вовлечения через обучение.,"умеренная установка на рост (F3) и осведомленность (F9) делают подгруппу перспективной, несмотря на низкую вовлеченность."
«отстраненные» (N=291),"Отстраненные, не чувствительные к ошибкам",34,"«ИИ? Иногда пользуюсь, вроде нормально. Если и ошибается, мне не принципиально».",,Комфорт использования ИИ не сопровождается вовлеченностью или доверием. Редкие контакты с ИИ не вызвали снижения доверия.,"низкие показатели по большинству факторов, но самый высокий в группе комфорт (F7) и самая низкая реакция на ошибки (F8). Высокий комфорт (F7) не сопровождается вовлеченностью или доверием (низкий F2)."
«отстраненные» (N=291),Пассивно нейтральные,121,"«Ну, наверное, ИИ где-то есть, но я не парюсь. Работает – и ладно».",,Нейтральное отношение без активного неприятия.,"низкие показатели по всем факторам, но чуть менее выраженный негатив/трудности (F6) по сравнению с другими подгруппами."
